item,component,classification,attachment_path,retention_method,service_or_reset_path,limitation,digital_attachment_audit
WP02-001,ARM_1,CUSTOM RIGID,6 mm pivot pin in WP01 shell double-shear clevis; link pin at 35 mm arm station,Headed 17-4PH pin plus VSM-6-S16-PA secondary ring; positive deployed lock pin,Withdraw retaining ring and pin after crosshead energy is restrained,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators.",PASS
WP02-004,LINK_1,CUSTOM RIGID,Pinned between the rigid arm fork and common-crosshead fork,Headed 17-4PH pins plus VSM-6-S16-PA secondary rings,Pins withdraw tangentially through the opened arm bay,70.000 mm pin-center length; no state-dependent part geometry.,PASS
WP02-002,ARM_2,CUSTOM RIGID,6 mm pivot pin in WP01 shell double-shear clevis; link pin at 35 mm arm station,Headed 17-4PH pin plus VSM-6-S16-PA secondary ring; positive deployed lock pin,Withdraw retaining ring and pin after crosshead energy is restrained,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators.",PASS
WP02-005,LINK_2,CUSTOM RIGID,Pinned between the rigid arm fork and common-crosshead fork,Headed 17-4PH pins plus VSM-6-S16-PA secondary rings,Pins withdraw tangentially through the opened arm bay,70.000 mm pin-center length; no state-dependent part geometry.,PASS
WP02-003,ARM_3,CUSTOM RIGID,6 mm pivot pin in WP01 shell double-shear clevis; link pin at 35 mm arm station,Headed 17-4PH pin plus VSM-6-S16-PA secondary ring; positive deployed lock pin,Withdraw retaining ring and pin after crosshead energy is restrained,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators.",PASS
WP02-006,LINK_3,CUSTOM RIGID,Pinned between the rigid arm fork and common-crosshead fork,Headed 17-4PH pins plus VSM-6-S16-PA secondary rings,Pins withdraw tangentially through the opened arm bay,70.000 mm pin-center length; no state-dependent part geometry.,PASS
WP02-007,COMMON_CROSSHEAD,CUSTOM RIGID,Two axial guide rods; three link clevises; GS adapter; HBD slot coupler; spring guide rod,Captive between guide-rod end shoulders and all three pinned links,"Release sear, unload spring with reset fixture, remove links, then withdraw along guides",One rigid crosshead translated by the authoritative solver; no linear state scheduling.,PASS
WP02-008,PIVOT_BUSHING_SET,CUSTOM RIGID,Interference/transition fit in the WP01 pivot-clevis bores,Captured axially between the arm eye and WP01 clevis ears,Replace whenever pivot pin or arm is removed,,PASS
WP02-009,ARM_PIVOT_PIN_SET,CUSTOM RIGID,6.00 mm clearance-fit double-shear pivot,Integral head and VSM-6-S16-PA ring in 5.70 mm groove,"Remove ring with approved pick, withdraw tangentially",,PASS
WP02-010,ARM_LINK_PIN_SET,CUSTOM RIGID,6.00 mm clearance-fit pin at the arm fork,Integral head and VSM-6-S16-PA ring,Withdraw tangentially after spring unloading,,PASS
WP02-011,CROSSHEAD_LINK_PIN_SET,CUSTOM RIGID,6.00 mm clearance-fit pin at the common crosshead,Integral head and VSM-6-S16-PA ring,Withdraw tangentially after spring unloading,,PASS
WP02-012,VSM6_RETENTION_RING_SET,COTS DRAWING-DERIVED,External 5.70 mm shaft groove on each 6 mm pin,One-turn Spirolox ring; low axial positioning duty only,Replace after removal or visible distortion,Primary shear and joint separation are carried by the headed pin/clevis; ring is not credited for structural arm load.,PASS
WP02-013,POWERTRAIN_CARTRIDGE_SPINE,CUSTOM RIGID,Two removable mounting feet to WP01 protected-core bosses at Z=545 and 960,Four captive M4 fasteners plus dowel keys; interfaces controlled but body fasteners remain WP01/WP06 verification items,Withdraw aft as a complete powertrain cartridge after WP04 removal,Protected bay boundary and body-boss detail require final WP06 integration.,PASS
WP02-014,CROSSHEAD_GUIDE_ROD_SET,CUSTOM RIGID,Shouldered into the removable cartridge spine,Captured by enlarged end shoulders and spine crossbars,Remove only with the crosshead and spring fully unloaded,Guide straightness and wet contamination qualification remain physical CTQs.,PASS
