step,component,classification,operator_action,tool_required,consumable_required,torque_or_control,inspection_criterion,reject_condition,service_level
FR-001,System safe state,FIELD RESETTABLE,"Fit transport inhibit; tag deployed; restrain mechanism",Approved inhibit and guarded stand,None,Two-person energy-state confirmation,"Inhibit engaged; no uncontrolled arm/spring state","Cannot restrain or identify state",OPERATOR
FR-002,Residual pressure,FIELD INSPECTABLE,"Read pressure and use designed vent under approved procedure",Protected gauge/indicator and approved vent tool,None,Zero-energy verification before access,"Zero indicated pressure and no flow","Pressure indication uncertain or vent damaged",FIELD MAINTENANCE
FR-003,As-recovered record,FIELD INSPECTABLE,"Photograph and log witnesses/lots/cycles",Camera and service record,None,Configuration-controlled checklist,"Complete traceable record","Missing identity or unexplained witness state",OPERATOR
FR-004,Consumed cartridges,FIELD REPLACEABLE,"Remove complete cartridge modules and segregate spent items",Manufacturer cartridge/support tool,None,Manufacturer removal method; no improvised leverage,"Visible puncture; identity retained; no residual indication","Uncertain pressure state or damaged retention",FIELD MAINTENANCE
FR-005,Puncture head,FIELD INSPECTABLE; REPLACE ON FAILURE,"Inspect pin seat gasket thread and support; exchange module on defect",Light/magnifier and vendor gauge,Exact gasket/service kit if permitted,Vendor engagement/torque value REQUIRED,"No deformation cuts corrosion contamination or looseness","Any pin/seat/thread/support defect",FIELD MAINTENANCE
FR-006,Branch check,FIELD INSPECTABLE; REPLACE ON FAILURE,"Inspect and perform approved directional leak/flow check",Rated low-energy test fixture,Exact replacement check if failed,Released flow/leak limit REQUIRED,"Forward flow and reverse leakage within limit","Blocked flow reverse leak corrosion or contamination",FIELD MAINTENANCE
FR-007,Water-sensitive element,FIELD REPLACEABLE,"Install exact in-date element and indicator; record lot/expiry",Vendor service tool,Exact bobbin/pill/indicator kit,Vendor orientation and engagement,"Dry intact correct MPN/lot and safe indication","Wet expired damaged or mismatched element",OPERATOR
FR-008,Buoy deflation/drain,FIELD RESETTABLE,"Open supplier deflation path; drain completely",Supplier valve tool if required,None,No vacuum or unapproved suction,"No trapped pressure/water; relief path clear","Blocked valve/relief or retained water",OPERATOR
FR-009,Buoy wash/dry,FIELD RESETTABLE,"Fresh-water rinse where required and dry all cavities",Drying rack and controlled air/temperature,None,Supplier drying limit REQUIRED,"Completely dry including trigger and fold interfaces","Moisture contamination coating tack or odor",OPERATOR
FR-010,Buoy fabric seams inlet relief harness,FIELD INSPECTABLE; DEPOT SERVICE,"Visual and approved low-differential leak check",Light magnifier low-pressure fixture,Leak-test medium if approved,Supplier differential/time limit REQUIRED,"No damage and leakage within released limit","Seam coating inlet relief or harness damage",FIELD MAINTENANCE
FR-011,Gas lines and fittings,FIELD INSPECTABLE; REPLACE ON FAILURE,"Inspect routing abrasion kinks corrosion and witness marks",Light fitting gauges,Exact tube/fitting/seal replacements,Manufacturer installation turns/torque and witness,"No damage movement contamination or mixed-brand components","Kink abrasion corrosion loose witness or unknown assembly",FIELD MAINTENANCE
FR-012,Service seals,FIELD REPLACEABLE,"Replace single-use/time-limited seals",Nonmarring seal tool,Exact controlled seal kit,No reuse; lot/date control,"Correct material size lot lubrication and seating","Cut twisted expired substituted or contaminated seal",FIELD MAINTENANCE
FR-013,Crosshead guides arms pivots,FIELD INSPECTABLE; DEPOT SERVICE,"Inspect and move through guarded reset travel",Released reset tool and guarded fixture,Approved lubricant only if specified,Force/travel window REQUIRED,"Smooth travel; no crack bend galling play or missing capture","Binding deformation crack excess play or lost hardware",FIELD MAINTENANCE
FR-014,Stops locks latches,FIELD RESETTABLE; REPLACE ON FAILURE,"Release deployed locks; inspect stops; engage stowed latches",Released reset/gauge tools,Exact replaceable lock/stop module if failed,Positive independent engagement and witness,"All three locks/stops/latches captive and engaged","Any nonpositive engagement wear deformation or missing witness",FIELD MAINTENANCE
FR-015,Backup and ejector springs,FIELD RESETTABLE; REPLACE ON FAILURE,"Inspect and recompress through designed interface",Guarded spring/reset tool,None unless replacement,Released preload/travel witness; no ad hoc leverage,"No corrosion crack set rubbing; latch witness complete","Damage abnormal set binding or uncertain preload",FIELD MAINTENANCE
FR-016,Gas spring,FIELD RESETTABLE; REPLACE ON FAILURE,"Return mechanism and verify force/travel in guarded check",Force gauge/guarded fixture,None unless replacement,Released force band REQUIRED,"No leak/corrosion; force and stroke within band","Leak rod damage corrosion or force out of band",FIELD MAINTENANCE
FR-017,ACE damper,FIELD INSPECTABLE; REPLACE ON FAILURE,"Inspect leak/rod/setting and verify guarded stroke",Guarded linear fixture/load cell,None unless replacement,Controlled setting witness; stops 1-1.5 mm before ends,"No leak/binding/corrosion and baseline force within released tolerance","Leak seizure setting drift corrosion or rod damage",FIELD MAINTENANCE
FR-018,Buoy fold and pack,FIELD RESETTABLE,"Fold to approved card; route lines; close pack",Fold card pack gauge and softgoods tools,None,Orientation/witness/pack-gauge control,"Fits gauge; unobstructed inlet/relief; closure witness complete","Snag excess volume twist or obstructed relief",OPERATOR
FR-019,New released cartridges,FIELD REPLACEABLE,"Verify identity/full mass/face/lot then install exact supported module",0.1 g scale and manufacturer tool,"New accepted 86202Z cartridges; V80040 bobbins; exact gaskets/pins/clips as required","Published rearm sequence; exact holder/engagement control from released work instruction","Exact MPN; mass >= marked minimum; unpunctured; correct lot/CoC status; green indicator","Wrong MPN underweight punctured damaged corroded expired or non-green indicator",FIELD MAINTENANCE
FR-020,Regulator restrictor relief modules,FIELD INSPECTABLE; REPLACE ON FAILURE,"Verify MPN/set seal/witness and unobstructed vent; exchange module not internals",Configuration gauges and vendor tool,Exact line-replaceable module,Factory set/tamper seal; installation torque REQUIRED,"Correct MPN/set marking/seal and clean open relief path","Broken seal wrong set obstruction corrosion or damage",FIELD MAINTENANCE
FR-021,Leak check,FIELD INSPECTABLE,"Run approved rated low-energy inert-gas pressure-decay test",Rated fixture calibrated pressure/temperature sensors,Approved inert test gas,Released pressure/time/leak limit REQUIRED,"Decay/leak within released limit; no deformation","Excess decay visible leak unstable indication or damage",FIELD MAINTENANCE
FR-022,Dry functional check,FIELD INSPECTABLE,"Verify inhibits indicators captivity and unobstructed paths without firing CO2",Checklist and guarded low-energy fixture,None,No live cartridge discharge during routine check,"All indicators/witnesses and dry functions pass","Any ambiguous state or failed witness/function",OPERATOR
FR-023,Independent final verification,FIELD INSPECTABLE,"Second person checks configuration and signs ready state",Controlled checklist,None,Independent signature and traceability,"All lots/expiries/counts/sets/folds/locks/inhibit correct","Any open discrepancy or unsigned record",OPERATOR
FR-024,Structural pressure-boundary or seam damage,DEPOT SERVICE,"Quarantine and return; no field repair",Transport-safe quarantine kit,None,Engineering disposition required,"Accepted manufacturer/depot repair and requalification","Any unapproved field repair",DEPOT
