procurement_group,candidate_mpn,required_order_language,coc_requirement,material_cert_requirement,traceability_requirement,procurement_evidence_required,receipt_acceptance,delivered_status
Gas cartridges,Leland 86202Z preferred / 85202Z / 87202Z supported alternates,"Exact MPN and fill; 1/2-20 neck/seal revision; shelf/storage limits; exact published inflator configuration","Manufacturer CoC to PO and lot","Cylinder material/pressure/regulatory compliance statement","Lot/date/minimum gross weight and package mapping","Manufacturer quote and exact rearm/configuration evidence","Identity/dimensions/gross mass/seal/date/lot and CoC review",NOT RECEIVED
Large gas challengers,Leland 87203Z / 89070 / 89092 / 89150,"No order without written exact inflator/piercer/holder application approval and controlled drawing","Manufacturer CoC to PO and lot","Cylinder material/pressure/regulatory compliance statement","Lot/date/minimum gross weight and package mapping","Vendor application-engineering letter plus quote","Identity/dimensions/gross mass/seal/date/lot and CoC review",NOT RECEIVED
Water inflator/outlet,Nordson MEDICAL/Halkey-Roberts V95000 Hydro 1F 1/2-20 exact suffix plus rated outlet MPN TBD,"Exact body/lanyard suffix; supported cartridge; pin/seal/holder/reaction/flow/temp/service limits; commercial rated outlet/check-bus or approved direct-buoy manifold; no custom adapter","Manufacturer CoC to exact source/outlet configuration","Wetted/material and pressure-boundary declaration","Assembly lot/date and service-part lot","Written manufacturer application approval; controlled outlet drawing MAWP derating flow/reaction data and quote","Identity/drawing revision/rating/function indicator and CoC",NOT RECEIVED
Type-3 functional system,"LSC 481-CG with installed 470-CG + #484 33 g 1/2-20","Exact complete current system; no substitution; label NOT REPRESENTATIVE OF FINAL GAS INVENTORY","Manufacturer system/inflator/cylinder conformity records requested","Material/pressure construction declarations where offered","System/inflator/cylinder lot; bobbin manufacture/expiry; package mapping","LSC manufacturer-direct quote and exact installed-configuration confirmation","Exact identity; bobbin date; cylinder gross/lot; document review",NOT RECEIVED
Type-1 buoy,HIKO 87640_OLV_ONE,"Exact MPN; verified 60 L actual usable displacement at 5 m; operating differential; MAWP; inlet; relief set/reseat/capacity; 0 C salt-water and reset-cycle limits; no substitute","Manufacturer identity/lot conformity statement requested","Construction/material declaration requested","Manufacturer label/lot/date mapping","HIKO application response and traceable quote; no PO without pressure data","Exact identity; damage; label/lot; pressure/cycle documents; CoC review",NOT RECEIVED
Water element,Halkey-Roberts V80040,"Current revision; replace-by date; storage/transport controls","Manufacturer CoC by lot","Not normally required; composition/SDS available","Manufacture/expiration date and lot","Authorized-source quote","Dry intact element; date/lot/CoC",NOT RECEIVED
Pressure checks,Swagelok SS-4C-1/3,"Exact seal/cracking-pressure configuration; CO2 service approval","Certificate of Compliance to order","EN 10204 3.1 or vendor material cert if available","Heat/lot trace for body; assembly lot","Authorized sales quote with certificate options","Identity/markings/cert/leak and cracking-pressure acceptance",NOT RECEIVED
Pressure fittings,Swagelok SS-400-3 and selected tube,"Exact 316 SS sizes; no mixed-brand ferrule components","CoC to order","Material cert by heat if available","Heat/lot trace","Authorized sales quote","Identity/material/finish/cert and controlled installation record",NOT RECEIVED
Low-pressure relief,Swagelok KVV11DE1 exact set configuration,"Selected range/set point/seal; tamper control; CO2 compatibility","CoC plus calibrated set certificate","Material cert if available","Serial or lot trace","Authorized sales quote and set-service statement","Bench set/seat leakage certificate review",NOT RECEIVED
DOT cylinder,Swagelok 316L-HDF4-300,"DOT-3E marked exact MPN; protected valve configuration; approved CO2 fill/service lifecycle","CoC and DOT conformity","316L material cert","Serial and heat trace","Cylinder and qualified fill-service quotes","Marking/serial/cert/visual/empty mass and fill record",NOT RECEIVED
Release cylinder,Clippard SRR-14-4 exact configuration,"Stroke; seals; spring/return; pressure; temperature; external material","CoC to PO","Material declaration/cert where offered","Lot/serial trace","Manufacturer or authorized quote plus drawing","Identity/stroke/leak/force and certificate",NOT RECEIVED
Gas spring,ACE GS-19-50-V4A-B8-B8,"300 +/- 30 N force; exact B8/B8; stainless V4A; force test report","CoC available as explicit order option","Material declaration","Serial/lot and force setting","ACE quote with certificate/test options","Identity/force/stroke/finish/certificate",NOT RECEIVED
Damper,ACE HBD-15-25-AA-P,"Exact AA-P suffix; force-speed setting; no-free-travel configuration; temperature","CoC available as explicit order option","Material declaration","Serial/lot and setting","ACE quote and performance data","Identity/stroke/force-speed/leak/certificate",NOT RECEIVED
Backup spring,Lee Spring LHL 625D 12 or replacement,"Exact material/finish; free length/rate/solid height/load tolerances","CoC by lot","Material cert by heat/lot","Lot trace","Manufacturer quote and current datasheet","Dimensions/load test/material/cert",NOT RECEIVED
Ejector spring,Gutekunst VD-244,"Exact revision/material/finish and load tolerances","CoC by lot","1.4310 material cert","Lot trace","Manufacturer quote","Dimensions/load/material/cert",NOT RECEIVED
Lock/inhibit plungers,JW Winco GN 817 exact MPN,"Exact NI/RT/BK configuration; spring and allowable side/load information","CoC to PO","Material declaration/cert","Lot trace","JW Winco quote and drawing revision","Identity/travel/load/engagement/cert",NOT RECEIVED
Retaining rings,Smalley VSM-6-S16-PA; Rotor Clip DC-4SS,"Exact stainless suffix; groove standard; capacity","CoC by lot","Material cert","Lot/heat trace","Authorized quotes","Identity/dimensions/material/cert",NOT RECEIVED
Recovery tether,Samson AmSteel-Blue 872 7/64,"Exact construction/size/color; minimum strength; approved splice method; production length","CoC by lot","Fiber/material declaration","Production lot and reel trace","Authorized rope/splice quote","Diameter/length/lot/cert and representative break evidence",NOT RECEIVED
Buoy materials,Eastex 22035 and Sturges X-6292 exact config,"Exact roll/weave/coating; weld/sew process compatibility; minimum strength/air retention","CoC by lot","Material certificate/test report","Roll/lot trace","Manufacturer quotes and datasheets","Roll/lot/visual/material/cert and coupon tests",NOT RECEIVED
Service seals,Parker E0540 2-030,"Exact compound/date code; no substitution","CoC by lot","Compound certificate","Batch/date trace","Authorized distributor quote","Identity/lot/date/dimensions/cert",NOT RECEIVED
Pressure regulator,Swagelok KPR1DRB412A20000,"Exact 316SS 3600 psig inlet 0-25 psig Cv0.06 configuration; PCTFE; CO2/two-phase/icing/submersion application statement","CoC to PO plus factory setting/test certificate if configured","EN 10204 3.1 or material cert if offered","Body heat/lot and assembly serial/set trace","Authorized sales quote plus application-engineering response and drawing","Identity/marking/certs; set/seat leak/flow evidence",NOT RECEIVED
Buoy differential relief lead,Halkey-Roberts 2110Pxxx exact suffix,"Exact factory crack setting; tolerance/reseat/fault-flow; materials/temp/CO2 icing/seawater; installation drawing","Manufacturer CoC plus calibration/test certificate","Material declaration","Lot/set/calibration trace","Manufacturer application response and quote after buoy MAWP closes","Exact suffix/set label/lot/certs; opening/reseat/flow acceptance",NOT RECEIVED
Buoy differential relief alternate,Leafield A6PG-XXXNXXX or A6NP-XXXNXXX,"Exact pressure/color/configuration; max opening/min sealing/flow; material/temp; tooling/drawing","Manufacturer CoC plus opening/closing test evidence","Material declaration","Lot/set/test trace","Manufacturer quote and application response after buoy MAWP closes","Exact suffix/color/set/lot/certs; opening/reseat/flow acceptance",NOT RECEIVED
Buoy test article,HIKO 87640_OLV_ONE,"Exact SKU; 60 L; 97x68 cm; Drifter 210D TPU; same-lot pair; MAWP/allowed differential/inlet/return statement","Manufacturer or distributor CoC/identity statement requested","Material/lot statement requested","Lot mapping for both articles","Authorized dealer stock quote; manufacturer page sold out","Match SKU/lot/material/dimensions; seam/tube/attachment visual and documents",NOT RECEIVED
Puncture reference,Leland 65026-18N12,"Exact MPN; 1/2-20 to 1/8NPT; 89070 mass/pressure approval; pin/seal/support/reaction data; no substitution","Manufacturer CoC to PO/lot","Material declaration/cert","Assembly lot trace","Application-engineering letter and quote; not orderable for Type3 until water activation path approved","Identity/drawing/rating/application letter/CoC",NOT RECEIVED
