"part_number","revision","description","make_buy","manufacturer","cad_classification","occurrence_quantity","mass_each_kg","material","source_url","notes"
"AMSTEEL-BLUE-872-7-64-R2","A","STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES","MAKE","Samson Rope Technologies raw line / STINGRAY finished splices","DRAWING_DERIVED","1","0.02","HMPE rope","https://www.samsonrope.com/mooring/amsteel--blue","Samson product code 872, 7/64 in; controlled Class II buried-eye splices, chafe sleeves and 4.45 kN finished-assembly proof."
"DF8-FINAL-BOWDEN-SHEATH-001","A","COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY","MAKE","STINGRAY controlled route assembly","DRAWING_DERIVED","1","0.009","PTFE liner / 316 stainless spiral-and-overbraid composite / 316 swaged terminal sleeves","","Controlled centerline and end terminations; Non-pressure control cable; 100% continuity/engagement inspection. State-invariant mass basis: Controlled finished-article mass including PTFE liner, 316 spiral/overbraid and swaged terminals."
"DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER","A","SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","DRAWING_DERIVED","1","0.0029599451556336165","PEEK","","One occurrence-specific exact support spans the complete arm-module corridor; end shoulders are trapped between the two bulkhead glands."
"DF8-FINAL-BOWDEN-SHEATH-RING-GLAND","A","BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","DRAWING_DERIVED","2","0.0006840187171386935","316 stainless steel","","Integral controlled fitting assembly; route bore includes diagonal-transition clearance."
"DF8-FINAL-BOWDEN-WIRE-001","A","COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY","MAKE","STINGRAY controlled route assembly","DRAWING_DERIVED","1","0.002744317","0.60 mm 1x19 cold-worked 316 stainless wire with 316 swaged terminal barrels","","Controlled centerline and end terminations; 445 N tensile proof; 100% continuity/engagement inspection. State-invariant mass basis: 343.0397 mm3 controlled 316 wire/terminal envelope at 8.00e-6 kg/mm3."
"DF8-FINAL-GAS-MAIN-001","A","COMPLETE TERMINATED GAS MAIN ASSEMBLY","MAKE","STINGRAY controlled route assembly","DRAWING_DERIVED","1","0.013522247","ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy","","Controlled centerline and end terminations; 20.7 MPa proof; 100% continuity/engagement inspection. State-invariant mass basis: 1690.2809 mm3 controlled 316L tube/termination envelope at 8.00e-6 kg/mm3."
"DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER","A","SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","DRAWING_DERIVED","1","0.001728149295628161","PEEK","","One occurrence-specific exact support spans the complete arm-module corridor; end shoulders are trapped between the two bulkhead glands."
"DF8-FINAL-GAS-MAIN-RING-GLAND","A","GAS MAIN TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","DRAWING_DERIVED","2","0.0007830216113868606","316 stainless steel","","Integral controlled fitting assembly; route bore includes diagonal-transition clearance."
"DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001","A","LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED","MAKE","STINGRAY controlled route-support drawing","DRAWING_DERIVED","3","0.000153628","Ti-6Al-4V spring temper","","0.05 mm nominal tube running clearance and 0.01 mm shell weld-land stand-off."
"DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001","A","TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED","MAKE","STINGRAY controlled pressure-route drawing","DRAWING_DERIVED","1","0.007","ASTM A269 TP316L seamless capillary tube","","2.00 mm OD x 0.35 mm wall exact formed feed with direct-braze end preparations; three occurrence-specific welded spring supports."
"DF8-FINAL-PILOT-LINE-001","A","COMPLETE TERMINATED PILOT LINE ASSEMBLY","MAKE","STINGRAY controlled route assembly","DRAWING_DERIVED","1","0.008495814","ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy","","Controlled centerline and end terminations; 20.7 MPa proof; 100% continuity/engagement inspection. State-invariant mass basis: 1061.9767 mm3 controlled 316L tube/termination envelope at 8.00e-6 kg/mm3."
"DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER","A","SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN","MAKE","STINGRAY controlled guide-liner drawing","DRAWING_DERIVED","1","0.003229400500009809","PEEK","","One occurrence-specific exact support spans the complete arm-module corridor; end shoulders are trapped between the two bulkhead glands."
"DF8-FINAL-PILOT-LINE-RING-GLAND","A","PILOT LINE TWO-COLLAR BULKHEAD GLAND","MAKE","STINGRAY controlled micro-fitting drawing","DRAWING_DERIVED","2","0.0006592679935766515","316 stainless steel","","Integral controlled fitting assembly; route bore includes diagonal-transition clearance."
"DF8-FINAL-WP04-EJECTOR-SPRING-001","A","CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING","MAKE","STINGRAY controlled spring drawing","DRAWING_DERIVED","1","0.0319863","EN 10270-3 1.4310 stainless spring wire, 2.00 mm","","Custom long-stroke article replaces the unsuitable catalog VD-244 dynamic-stroke application; 22.0 mm OD, 200.0 mm free length, 2.0 mm wire, 0.946 N/mm target rate, 85.0 mm minimum installed length and 170.0 mm released installed length."
"DF8-FINAL-WP04-FULLFLOW-MANIFOLD","A","WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT","MAKE","STINGRAY controlled manifold drawing","DRAWING_DERIVED","1","0.000912318506602476","316 stainless steel","","Gas-main route seats at the modeled forward port face; aft outlet is controlled by WP04 buoy-pack plumbing."
"DF8-FINAL-WP04-MANIFOLD-BRACKET","A","WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET","MAKE","STINGRAY custom","DRAWING_DERIVED","1","2.1263999999999988E-05","Ti-6Al-4V","",""
"DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001","B","DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0031335454005427285","Ti-6Al-4V","",""
"DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001","B","DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.003098105400542728","Ti-6Al-4V","",""
"DF8-R2-ACTUATOR-PIN-004","C","4 MM CAPTIVE ACTUATOR CLEVIS PIN WITH DC-4SS CATALOG GROOVE","MAKE","STINGRAY custom","DRAWING_DERIVED","4","0.0012743013698474804","17-4PH stainless steel","",""
"DF8-R2-AFT-LONGERON-001","A","AFT PRIMARY LOAD-PATH LONGERON","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.007614048347843667","Ti-6Al-4V","",""
"DF8-R2-AFT-ROUTE-RING-001","A","AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.046503395723791974","Ti-6Al-4V","",""
"DF8-R2-AFT-SHELL-001","A","AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.24851460285318006","Ti-3Al-2.5V Grade 9","",""
"DF8-R2-ARM-BLADE-001","C","733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM WITH SWEPT STOP-HARDWARE RELIEFS","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.11651724229084344","Ti-6Al-4V","","Analytic cylindrical OML; no planar patch tiling or mesh-derived surfaces; one-degree swept service corridors clear the fixed-stop screw and dowel envelopes."
"DF8-R2-ARM-STOP-PAD-001","B","REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0011774163151587191","17-4PH stainless steel","",""
"DF8-R2-AUTO-LOCK-BUSHING-001","A","PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING","MAKE","STINGRAY custom","DRAWING_DERIVED","3","3.094528181635134E-07","PEEK","",""
"DF8-R2-AUTO-LOCK-DOG-001","A","SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG","MAKE","STINGRAY custom","DRAWING_DERIVED","3","8.408963611185206E-06","17-4PH stainless steel","",""
"DF8-R2-AUTO-LOCK-SPRING-001","B","CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING","MAKE","STINGRAY custom","DRAWING_DERIVED","3","2.8560892651638403E-06","1.4310 stainless spring steel","","Endpoint B-reps bound the 3.30 mm snap-lock stroke; physical wire mass is state-invariant and the spring remains captive between the dog head and press-fit outer bushing."
"DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003","B","FIXED SECTOR 3 WITH TWO RADIAL M3 BACKUP-GUIDE HEAD POCKETS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.33972579285849414","Ti-6Al-4V","",""
"DF8-R2-BACKUP-GUIDE-LONGERON-003","A","PRIMARY LONGERON 3 WITH TWO RADIAL BACKUP-GUIDE M3 CLEARANCE BORES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0487211265814552","Ti-6Al-4V","",""
"DF8-R2-BACKUP-SPRING-16N-001","B","CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING","MAKE","STINGRAY controlled spring specification","DRAWING_DERIVED","1","0.092","1.4310 stainless spring steel","","OD 15.8 mm; wire 3.0 mm; free length 195.0 mm; rate 16.0 N/mm; controlled drawing and proof acceptance."
"DF8-R2-BACKUP-SPRING-FIXED-SEAT-001","B","BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0042064835579726225","Ti-6Al-4V","",""
"DF8-R2-BACKUP-SPRING-GUIDE-001","B","BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.029068956937486064","17-4PH stainless steel","",""
"DF8-R2-BACKUP-SPRING-MOVING-SEAT-001","B","BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0073882012531716265","17-4PH stainless steel","",""
"DF8-R2-BALLAST-001","A","FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","4.884227629259874","Tungsten heavy alloy","",""
"DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","A","SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.001006063631385595","316 stainless steel","","Separate solid pressure-boundary occurrence; no open-ended-cylinder representation remains in the installed reservoir."
"DF8-R2-BOOSTER-BAND-001","A","CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB","MAKE","STINGRAY custom","DRAWING_DERIVED","9","0.00031423136719677266","PEEK","",""
"DF8-R2-BOOSTER-COLLECTION-LINE-001","A","SHORT 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS","MAKE","STINGRAY custom","DRAWING_DERIVED","3","3.783105873452825E-05","316 stainless steel","","Occurrence-specific line bridges one dedicated manifold port to one SS-CHS2-1 inlet with 0.10 mm manifold-bore clearance."
"DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001","A","PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0012736644936183737","316 stainless steel","","Separate pressure-boundary occurrence; integral pilot enters the reservoir boss with controlled clearance while the full face weld closes the annulus."
"DF8-R2-BOOSTER-RESERVOIR-001","A","13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.1376017582272329","316 stainless steel","","Controlled MAKE item retained after Targeted-COTS fit rejection: 13.00 OD, 11.00 ID, 430.00 OAL; serialized leak and hydro-proof acceptance."
"DF8-R2-BUOY-GORE-01","A","60 L BUOY GORE 1 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-02","A","60 L BUOY GORE 2 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-03","A","60 L BUOY GORE 3 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
