operation_id,custom_line_id,operation,quantity_of_unique_set,process_control,qualification_burden,notes
OP-001,RC-001,5-axis mill penetrator engagement geometry,1,Controlled drawing and inspection,HIGH,"Fabric/load geometry not yet defined"
OP-002,RC-001,Turn and finish penetrator/body datum,1,Concentricity and surface inspection,MEDIUM,"No scaling or envelope invention"
OP-003,RC-002,Deep-bore/turn primary body shell,1,Wall/straightness/NDE plan,HIGH,"Material/process selection open"
OP-004,RC-002,Mill carrier pivot and mechanism pockets,1,Datum and CMM inspection,HIGH,"Must maintain 57.15 mm arm-module envelope"
OP-005,RC-002,Create drains/service openings and finish edges,1,Deburr/passivation inspection,MEDIUM,"Avoid crevice traps"
OP-006,RC-002,Join or fasten structural hardpoints,1,Qualified joining/fastener process,HIGH,"Continuous recovery load path"
OP-007,RC-003,Machine three arm/root blanks as controlled matched set,1,CMM and material trace,HIGH,"733.806 mm each"
OP-008,RC-003,Machine common crosshead and link clevises,1,CMM/travel inspection,HIGH,"At least 15.050 mm travel"
OP-009,RC-003,Machine replaceable stop and lock seats,1,Contact/load inspection,HIGH,"0.8 kN/arm floor"
OP-010,RC-003,Finish/passivate arm and mechanism set,1,Surface/passivation record,MEDIUM,"Galvanic/corrosion plan open"
OP-011,RC-004,Machine/form pack enclosure and release throat,1,Pack gauge and edge inspection,MEDIUM,"Selected buoy fold not frozen"
OP-012,RC-004,Machine follower/door interfaces,1,Travel/retention inspection,MEDIUM,"Wet/cold extraction test required"
OP-013,RC-005,Machine non-pressure module mounts/yokes/seats,1,Config-controlled adapter drawing,MEDIUM,"Every adapter remains custom and counted"
OP-014,RC-005,Passivate/coat and inspect adapter set,1,Finish certificate and dimensional inspection,MEDIUM,"No custom pressure-bearing adapter allowed without new gate"
