connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
STOW-SPRING-GUIDE-1,STOW-DOG-SPRING-1,STOW-DOG-GUIDE-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-1,STOW-DOG-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-1:SPRING_FIXED_END to STOW-DOG-GUIDE-1:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-1,STOW-DOG-SPRING-1,STOW-DOG-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-1,STOW-DOG-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-1:SPRING_MOVING_END to STOW-DOG-1:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
LOCK-SPRING-GUIDE-1,LOCK-SPRING-1,FIXED-STOP-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-1,LOCK-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-1:SPRING_OUTER_END to FIXED-STOP-1:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
STOW-SPRING-GUIDE-2,STOW-DOG-SPRING-2,STOW-DOG-GUIDE-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-2,STOW-DOG-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-2:SPRING_FIXED_END to STOW-DOG-GUIDE-2:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-2,STOW-DOG-SPRING-2,STOW-DOG-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-2,STOW-DOG-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-2:SPRING_MOVING_END to STOW-DOG-2:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
LOCK-SPRING-GUIDE-2,LOCK-SPRING-2,FIXED-STOP-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-2,LOCK-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-2:SPRING_OUTER_END to FIXED-STOP-2:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
STOW-SPRING-GUIDE-3,STOW-DOG-SPRING-3,STOW-DOG-GUIDE-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-3,STOW-DOG-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-3:SPRING_FIXED_END to STOW-DOG-GUIDE-3:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-3,STOW-DOG-SPRING-3,STOW-DOG-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-3,STOW-DOG-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-3:SPRING_MOVING_END to STOW-DOG-3:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
LOCK-SPRING-GUIDE-3,LOCK-SPRING-3,FIXED-STOP-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-3,LOCK-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-3:SPRING_OUTER_END to FIXED-STOP-3:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
DETAIL-BACKUP-SPRING-001-TO-BACKUP-SPRING-FIXED-SEAT,BACKUP-SPRING-001,BACKUP-SPRING-FIXED-SEAT,CAPTURED_GUIDED_COMPRESSION_SPRING,Closed end coil captured by annular seat and guide,BACKUP-SPRING-001:SPRING_FIXED_END_COIL is axially retained at BACKUP-SPRING-FIXED-SEAT:FIXED_SEAT_ANNULAR_POCKET,"BACKUP-SPRING-FIXED-SEAT:FIXED_SEAT_ANNULAR_POCKET provides the lateral pilot, clevis, channel, or guide for BACKUP-SPRING-001",SPRING_FIXED_END_COIL/FIXED_SEAT_ANNULAR_POCKET and the named hardware prevent unintended rotation,BACKUP-SPRING-FIXED-SEAT,BACKUP-SPRING-001,Service the named Closed end coil captured by annular seat and guide at this exact occurrence pair,Enumerated modeled joint BACKUP-SPRING-001:SPRING_FIXED_END_COIL to BACKUP-SPRING-FIXED-SEAT:FIXED_SEAT_ANNULAR_POCKET; class CAPTURED_GUIDED_COMPRESSION_SPRING,1,YES,CONNECTED
PACK-COLLAR-SHELL-1,PACK-ATTACHMENT-COLLAR-1,SHORT-AFT-SHELL-FWD,QUALIFIED_THREE-POINT_COLLAR_ATTACHMENT,MODELED INTEGRAL COLLAR LANDS,POSITIVE,POSITIVE,DEFINED,PACK-ATTACHMENT-COLLAR-1,SHORT-AFT-SHELL-FWD,CONTROLLED SERVICE PROCEDURE,Low-profile collar positively attached within the rigid 57.15 mm diameter limit,1,YES,CONNECTED
PACK-COLLAR-SHELL-2,PACK-ATTACHMENT-COLLAR-2,SHORT-AFT-SHELL-FWD,QUALIFIED_THREE-POINT_COLLAR_ATTACHMENT,MODELED INTEGRAL COLLAR LANDS,POSITIVE,POSITIVE,DEFINED,PACK-ATTACHMENT-COLLAR-2,SHORT-AFT-SHELL-FWD,CONTROLLED SERVICE PROCEDURE,Low-profile collar positively attached within the rigid 57.15 mm diameter limit,1,YES,CONNECTED
PACK-TIE-COLLAR-1-1,PACK-RADIAL-TIE-1-1,PACK-ATTACHMENT-COLLAR-1,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-1,PACK-ATTACHMENT-COLLAR-1,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
PACK-TIE-COLLAR-1-2,PACK-RADIAL-TIE-1-2,PACK-ATTACHMENT-COLLAR-1,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-2,PACK-ATTACHMENT-COLLAR-1,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
PACK-TIE-COLLAR-1-3,PACK-RADIAL-TIE-1-3,PACK-ATTACHMENT-COLLAR-1,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-3,PACK-ATTACHMENT-COLLAR-1,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
