part_number,physical_title,quantity,material,finish,neutral_cad,dimensioned_drawing,datums_gdt_tolerances,threads_fits_edge_surface_notes,inspection_characteristics,drawing_to_cad_verification,fabrication_authority
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,1,HMPE rope,"Chafe-protected, heat-sealed and clean",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-ACTUATOR-E-RING-004,4_MM_ACTUATOR_PIN_RETAINER_SS,4,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-ACTUATOR-PIN-004,4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,4,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,3,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,1,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
