record_type,state,part_number,revision,description,material,make_buy,manufacturer,cad_classification,source_url,purchase_url,process,finish,notes,mass_kg,volume_mm3,solid_count,face_count,step_schema,step_path,step_size_bytes,step_sha256,brep_path,brep_size_bytes,brep_sha256,source_path,source_sha256,copied_byte_for_byte
CONTROLLED_PART_DEFINITION,STOWED,AMSTEEL-BLUE-872-7-64-R2,A,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,HMPE rope,MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,PROVISIONAL — BLOCKS FINAL RELEASE,https://www.samsonrope.com/mooring/amsteel--blue,https://www.samsonrope.com/resources/find-a-distributor,"Measure, cut, buried-eye splice, chafe sleeve, proof load",,"Finished length, splice process and proof acceptance remain open.",0.0006884286384705307,709.7202458459079,3,21,AP242,controlled_part_definitions/AMSTEEL-BLUE-872-7-64-R2__REV_A__STATE_STOWED__LOCAL_AP242.step,95706,b57f3f7a19180e7a68b80dd90e62cfcbe50286703a20ed366b5a9446c67ffbf8,controlled_part_definitions/AMSTEEL-BLUE-872-7-64-R2__REV_A__STATE_STOWED__LOCAL_OCCT.brep,40275,c491112b8d9c759ea357e6253126f4d0fd71687aef85adf603a9ee4673642efc,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-ACTUATOR-E-RING-004,A,4 MM ACTUATOR PIN RETAINER,1.4310 stainless spring steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Stamp,,,4.345508650541629e-05,5.5356798096071715,1,8,AP242,controlled_part_definitions/DF8-R2-ACTUATOR-E-RING-004__REV_A__STATE_STOWED__LOCAL_AP242.step,26905,fad77b7f2a790997fdff31384c847152744bbdb5c9ea78d598ca1f1e27eda674,controlled_part_definitions/DF8-R2-ACTUATOR-E-RING-004__REV_A__STATE_STOWED__LOCAL_OCCT.brep,7156,1e4732cf329de19cf2f81d50919b0f003c2893b7ba807f3e05e90d292144f163,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-ACTUATOR-FIXED-YOKE-001,A,DOUBLE-SHEAR ACTUATOR BODY ANCHOR YOKE,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill,,,0.003045973815196337,687.5787393219723,1,38,AP242,controlled_part_definitions/DF8-R2-ACTUATOR-FIXED-YOKE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,115058,e9fa0b63ef65991ad7495015fd66bce96c449c84af0c6ce749cb23ee8050f6cd,controlled_part_definitions/DF8-R2-ACTUATOR-FIXED-YOKE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,25679,2c05c73ca6ad91478b19d9a1d513e0df06da7726398922a4ae94cc0105772920,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-ACTUATOR-PIN-004,A,4 MM CAPTIVE ACTUATOR CLEVIS PIN,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Swiss turn; H900,,,0.0009879695303224745,127.47993939644832,1,9,AP242,controlled_part_definitions/DF8-R2-ACTUATOR-PIN-004__REV_A__STATE_STOWED__LOCAL_AP242.step,19490,2314d06bb7b5fa672e143da625412b4c2b3c230285d569c4936a7dd20bf68dc9,controlled_part_definitions/DF8-R2-ACTUATOR-PIN-004__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3943,a9ccaf80709920e20859054dbd16a9cf67047e71425a3dc776178d928a77e196,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-AFT-LONGERON-001,A,AFT PRIMARY LOAD-PATH LONGERON,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill,,,0.010502406318821517,2370.7463473637736,1,8,AP242,controlled_part_definitions/DF8-R2-AFT-LONGERON-001__REV_A__STATE_STOWED__LOCAL_AP242.step,27458,9688c405aaa5f371234cb9292e9726cdf1a220cd7c9362f96658d78dd55e3e92,controlled_part_definitions/DF8-R2-AFT-LONGERON-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,6780,1398b5dbb42cd915b4eac6c49e3e4ed885c6a1ebf1a86b1c16c38646ee6d2030,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-AFT-ROUTE-RING-001,A,AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Mill-turn and jig-bore,,,0.04649309695475498,10495.055745994352,1,10,AP242,controlled_part_definitions/DF8-R2-AFT-ROUTE-RING-001__REV_A__STATE_STOWED__LOCAL_AP242.step,34429,1a9a4812aaa8242ff3f8cd647a6d1c30a687d0479f93956094efb873bdb99522,controlled_part_definitions/DF8-R2-AFT-ROUTE-RING-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,8551,68cb7dd150c9546f2d6a0be62f161e19fb2b3754fcd293014c593c213a4b84e8,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-AFT-SHELL-001,A,AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES,Ti-3Al-2.5V Grade 9,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Cold draw; laser cut controlled apertures,,,0.24812740235763994,55385.580883401766,1,20,AP242,controlled_part_definitions/DF8-R2-AFT-SHELL-001__REV_A__STATE_STOWED__LOCAL_AP242.step,230185,1f74a73fa6ae69fcef3e6511ed73392e9bce81f841d2ca235ec8b8c5caa1a119,controlled_part_definitions/DF8-R2-AFT-SHELL-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,113551,faeeba45aa3cfcd3f38371b6b5d8bd4efbeba342dd1d39cd493d61cefb5a21e2,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-ARM-BLADE-001,A,733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Hot form; 5-axis machine; laser weld; CMM inspect,,Analytic cylindrical OML; no planar patch tiling or mesh-derived surfaces.,0.11653605299251314,26306.106770318995,1,103,AP242,controlled_part_definitions/DF8-R2-ARM-BLADE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,705685,5bd4339acd0017ba6d2af84d2c2cd650edce86f7a76e2e611fddaaec2961e56f,controlled_part_definitions/DF8-R2-ARM-BLADE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,278491,b4a2bb01956debb0a126f6f8cfc951a153ef0515bb9e5a547f7fc633abafeb50,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-ARM-STOP-PAD-001,A,REPLACEABLE ARM STOP AND LOCK STRIKE,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Wire EDM and grind,,,0.0011190999999999998,144.39999999999998,1,6,AP242,controlled_part_definitions/DF8-R2-ARM-STOP-PAD-001__REV_A__STATE_STOWED__LOCAL_AP242.step,17708,c1433f07d3a63a93b79d11b3a336bb7e661c03cf45fd5bc74aced54ea88f2bd1,controlled_part_definitions/DF8-R2-ARM-STOP-PAD-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2844,8993d606728187fda1bc6ec26ee08eb66c4a96b395a61df09e100319135aeae1,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BACKUP-SPRING-16N-001,A,CUSTOM 16 N/MM GUIDED BACKUP COMPRESSION SPRING,1.4310 stainless spring steel,MAKE,Qualified spring supplier TBD,PROVISIONAL — BLOCKS FINAL RELEASE,,,Cold coil and stress relieve,,Exact performance supplier and qualification remain open.,0.0586837153787682,7475.63253232716,3,5,AP242,controlled_part_definitions/DF8-R2-BACKUP-SPRING-16N-001__REV_A__STATE_STOWED__LOCAL_AP242.step,288335,091885bed3df9f34f68691d728c9291503197dee18a1fb8c21123febc1861d17,controlled_part_definitions/DF8-R2-BACKUP-SPRING-16N-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,180236,4d55201ddc35287f8dd21c0642db058460ed3026583537b12143e41398e2cddf,,,
