part_number,physical_title,material,finish,process_or_heat_treatment,environmental_compatibility,evidence,release_status
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,HMPE rope,"Chafe-protected, heat-sealed and clean",Controlled eye splices; chafe sleeve; finished-article proof load; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Ultimate recovery load runs hardpoint ring -> pin/thimble -> HMPE tether -> buoy harness. Cordura and hook-and-loop are bypassed.,NOT RELEASED
DF8-R2-ACTUATOR-E-RING-004,4_MM_ACTUATOR_PIN_RETAINER_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Stamp; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-ACTUATOR-PIN-004,4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",Turn; press fit; inspect spring-clear bore and retention; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Micro-coil; stress relieve; inspect force and 1.65-4.95 mm installed lengths; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Endpoint B-reps bound the 3.30 mm snap-lock stroke; physical wire mass is state-invariant and the spring remains captive between the dog head and press-fit outer bushing.,NOT RELEASED
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Cold coil; closed-ground ends; stress relieve; 100% rate/length inspection; proof cycle; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,OD 15.8 mm; wire 3.0 mm; free length 195.0 mm; rate 16.0 N/mm; controlled drawing and proof acceptance.,NOT RELEASED
