risk_id,function,failure_mode_or_cause,effect,severity,status,evidence,required_control,residual_risk
R-001,Inflation gas capacity,12 g cartridge cannot fill 60 L,No/partial buoy inflation,CRITICAL,OPEN,Ideal volume 6.559 L vs 60 L,Reselect complete qualified inflation architecture and test,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-002,Inflator configuration,V95000 suffix/exact geometry/rated interface incomplete,Thread/seal/fit/function incompatibility,CRITICAL,OPEN,Dimension-controlled proxy and family-level evidence,Obtain supplier-controlled installed configuration and application approval,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-003,Softgoods opening,"Wet peel, folds, seams, patch, and breakaway not tested",Failure to deploy or damaged buoy,CRITICAL,OPEN,CAD states only,Execute PV-003/PV-004,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-004,Structural load path,Mission loads/proof factors absent,Arm/pin/lock/hardpoint/tether failure,CRITICAL,OPEN,Nominal geometry only,"Control loads, complete FEA/hand checks, and proof test",NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-005,Buoyancy/stability,Required supported load and stability cases absent,Insufficient lift or adverse orientation,CRITICAL,OPEN,60 L gross displacement only,Define mission cases and execute hydrostatic/physical tests,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-006,Automatic activation,Water trigger and installed rearm behavior unqualified,No automatic deployment or inadvertent activation,MAJOR,OPEN,Supplier family IFU only,Install exact qualified parts and environmental functional test,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-007,Manufacturing definition,No released drawings/GD&T/process controls,Unbuildable or nonconforming product,CRITICAL,OPEN,79 MAKE definitions; drawing register not released,Complete structural/tolerance basis and release drawings,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-008,AP242 reproducibility,Presentation-style entity order varies across identical builds,Byte-identical master cannot be reproduced,MAJOR,OPEN,Geometry/inventories/mass stable; STEP hashes vary,Correct exporter ordering or adopt controlled semantic reproducibility acceptance,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-009,Screenshot evidence,Eleven required reference images were not supplied,Image-specific defects cannot be mapped/closed,MAJOR,OPEN,Bounded search found zero images,Provide exact images and repeat closure review,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-010,Primary editable-source authority,Named source ZIP/decision filenames remained placeholders,Potential newer source/decision omitted,MAJOR,OPEN,Repository/context baseline used,Provide and reconcile exact attachments,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-011,COTS-first objective,79 MAKE vs 13 BUY unique definitions,Cost/schedule/qualification burden,MAJOR,OPEN,BOM classification,Resume only a bounded complete-module screen after controlling requirements are fixed,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-012,Dynamic mechanism,Static motion PASS lacks time/load/impact evidence,"Overtravel, bounce, lock failure",MAJOR,OPEN,0-80 degree Boolean/kinematic PASS,Execute instrumented dynamic deployment,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-013,Corrosion/environment,Mixed materials/finishes not system-qualified,"Seizure, leakage, loss of strength",MAJOR,OPEN,Materials register only,Compatibility review plus environmental tests,NOT EVALUATED UNTIL CONTROL IS VERIFIED
R-014,Naming,Root assembly retains administrative configuration tokens,Release naming nonconformance,MINOR,OPEN,Authoring inventory root_name,Rename root in a new frozen build and rerun targeted regressions,NOT EVALUATED UNTIL CONTROL IS VERIFIED
