service_action,A_twin_marine,A_level,B_DOT_refill,B_level,C_three_cartridge,C_level,acceptance_concept
Establish safe condition,"Fit inhibit; confirm indicators; open protected vent",operator-level,"Isolate cylinder; fit inhibit; verify gauges/vent",field-maintenance,"Fit inhibit; confirm three branch indicators; open protected vent",operator-level,"No stored pressure before access"
Depressurize safely,"Low-pressure protected vent; cartridges are consumed sealed items",operator-level,"Rated remote vent and isolated cylinder handling",field-maintenance,"Low-pressure protected vent; consumed cartridges removed only after indication",operator-level,"Zero indicated pressure; no audible flow"
Replace or recharge gas source,"Replace two sealed 70 g cartridges",operator-level,"Exchange or recharge weighed cylinder at qualified station",field-maintenance,"Replace keyed three-cartridge kit",operator-level,"Correct full cartridges; thread/seal/witness accepted"
Reset water activation,"Replace two V80040 bobbins/service elements",operator-level,"Replace separate water element and reset pilot",operator-level,"Replace keyed water-element kit",operator-level,"In-date dry elements; green/safe witness"
Replace consumed bobbin or sensor,"Same as water reset",operator-level,"Replace sensor cartridge",operator-level,"Same as water reset",operator-level,"Lot/date recorded"
Service valves,"Exchange checked outlet module",field-maintenance,"Service isolation/regulator/relief per vendor",manufacturer-only,"Exchange individual branch check or relief module",field-maintenance,"Leak/functional test after change"
Repack buoy,"Use controlled fold card and witness marks",operator-level,"Same",operator-level,"Use controlled fold card and cartridge-clear routing",operator-level,"Pack gauge and closure witness pass"
Reset ejector,"Compress VD-244 with reset tool; latch follower",operator-level,"Same",operator-level,"Same",operator-level,"Positive latch witness and spring inspection"
Reset arms,"Use common reset tool and defined reverse sequence",operator-level,"Same",operator-level,"Same",operator-level,"All arms stowed and captive"
Reset springs,"Recompress backup spring through guided interface",operator-level,"Same",operator-level,"Same",operator-level,"Preload witness and no coil damage"
Reset locks stops and latches,"Inspect stops; retract/reseat deployed locks; engage stowed latch",operator-level,"Same",operator-level,"Same",operator-level,"Independent positive engagement checks"
Reset pneumatic release,"Manually return pilot cylinder and lock",field-maintenance,"Bleed and return pilot/main valve",field-maintenance,"Return replaceable release cylinder and verify plunger",field-maintenance,"Full travel without binding"
Inspect pressure boundaries,"Visual/thread/seal inspection",field-maintenance,"Cylinder/valve/fitting inspection and life record",field-maintenance,"Each piercer/check/fitting branch inspected",field-maintenance,"No damage/corrosion/expired item"
Leak test,"Rated low-energy inert-gas fixture",field-maintenance,"Rated full pressure-system procedure",field-maintenance,"Rated low-energy inert-gas branch fixture",field-maintenance,"Acceptance leakage set by responsible engineer"
Pre-use functional verification,"Indicator/inhibit/manual dry functional check",operator-level,"Gauge/isolation/inhibit dry functional check",field-maintenance,"Three branch indicators/inhibit/mechanical witness dry check",operator-level,"No gas discharge during routine check"
Damper or actuator replacement,"Line-replaceable then function test",field-maintenance,"Line-replaceable then pressure/function test",field-maintenance,"Line-replaceable then function test",field-maintenance,"Correct configuration and recorded cycle reset"
Structural or buoy seam damage,"Return for repair and proof",depot,"Return for repair and proof",depot,"Return for repair and proof",depot,"No field structural/seam repair"
Overall reset conclusion,"STRONG: modular operator reset",,"WEAK: qualified recharge and pressure service dominate",,"STRONGEST: keyed modular kit and branch exchange",,"C preferred; no routine depot reconstruction"
