required_input,requested_name,result,disposition
Primary editable source ZIP,[INSERT EXACT NEWEST EDITABLE SOURCE ZIP FILENAME],PLACEHOLDER IN COMMISSION; NO ZIP ATTACHED,Repository Package 05 procedural source selected as newest controlled baseline; attachment gap remains open
Controlling owner-decision file 1,[INSERT EXACT DECISION FILE 1 FILENAME],PLACEHOLDER IN COMMISSION; NO FILE ATTACHED,Context-branch decisions used; possible newer attachment remains open
Controlling owner-decision file 2,[INSERT EXACT DECISION FILE 2 FILENAME],PLACEHOLDER IN COMMISSION; NO FILE ATTACHED,Context-branch decisions used; possible newer attachment remains open
Visual reference screenshot,96caba30-c2bd-4a17-b248-81ee3559dc4b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,b802781b-9a00-4332-8f65-b17b5ecf0d56.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,8f568847-8298-4476-9075-19cdddbffe68.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,faecb194-4586-4b54-8db3-35a258be47d1.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,903443cc-222f-4c0b-816d-e5d2dc8afc1b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,1580eb42-bd8c-4640-a70e-e86d40090dd9.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,27ea92db-2d39-41af-80eb-56af5a3498ee.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,31a1a846-287b-442a-af1b-061c9d5c3e0b.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,098fa2cc-0d1f-48f1-b46c-45b246bc5795.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,07f8923d-f301-46ff-a68a-02ac5f0fb590.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
Visual reference screenshot,555709a4-6918-4673-920b-2ef43ce1e828.png,MISSING FROM ATTACHMENT AND BOUNDED WORKSPACE SEARCH,Global defect-family audit completed; exact image-specific closure remains open
