item,component,quantity,subsystem,classification,manufacturer,part_number,material,source_class,mass_kg,procurement_status,limitation
WP02-001,ARM_1,1,Arm and hub,CUSTOM RIGID,STINGRAY,STG-WP02-ARM-1,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.759630609,CUSTOM DEVELOPMENT PART,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators."
WP02-004,LINK_1,1,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-LINK-1,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.024531299,CUSTOM DEVELOPMENT PART,70.000 mm pin-center length; no state-dependent part geometry.
WP02-002,ARM_2,1,Arm and hub,CUSTOM RIGID,STINGRAY,STG-WP02-ARM-2,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.759630609,CUSTOM DEVELOPMENT PART,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators."
WP02-005,LINK_2,1,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-LINK-2,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.024531299,CUSTOM DEVELOPMENT PART,70.000 mm pin-center length; no state-dependent part geometry.
WP02-003,ARM_3,1,Arm and hub,CUSTOM RIGID,STINGRAY,STG-WP02-ARM-3,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.759630609,CUSTOM DEVELOPMENT PART,"External structural loads are reacted through root stop and lock into WP01 shell, not through the link or actuators."
WP02-006,LINK_3,1,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-LINK-3,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.024531299,CUSTOM DEVELOPMENT PART,70.000 mm pin-center length; no state-dependent part geometry.
WP02-007,COMMON_CROSSHEAD,1,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-007,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.063529426,CUSTOM DEVELOPMENT PART,One rigid crosshead translated by the authoritative solver; no linear state scheduling.
WP02-008,PIVOT_BUSHING_SET,6,Arm and hub,CUSTOM RIGID,STINGRAY,STG-WP02-008,PEEK,CUSTOM REGENERABLE CAD,0.000439475,CUSTOM DEVELOPMENT PART,
WP02-009,ARM_PIVOT_PIN_SET,3,Arm and hub,CUSTOM RIGID,STINGRAY,STG-WP02-009,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.024530503,CUSTOM DEVELOPMENT PART,
WP02-010,ARM_LINK_PIN_SET,3,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-010,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.017956720,CUSTOM DEVELOPMENT PART,
WP02-011,CROSSHEAD_LINK_PIN_SET,3,Arm powertrain,CUSTOM RIGID,STINGRAY,STG-WP02-011,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.017956720,CUSTOM DEVELOPMENT PART,
WP02-012,VSM6_RETENTION_RING_SET,9,Pin retention,COTS DRAWING-DERIVED,Smalley,VSM-6-S16-PA,316 stainless steel,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,0.000148426,EXTERNAL EVIDENCE REQUIRED,Primary shear and joint separation are carried by the headed pin/clevis; ring is not credited for structural arm load.
WP02-013,POWERTRAIN_CARTRIDGE_SPINE,1,Powertrain fixed structure,CUSTOM RIGID,STINGRAY,STG-WP02-013,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.064982766,CUSTOM DEVELOPMENT PART,Protected bay boundary and body-boss detail require final WP06 integration.
WP02-014,CROSSHEAD_GUIDE_ROD_SET,2,Powertrain guidance,CUSTOM RIGID,STINGRAY,STG-WP02-014,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.009819770,CUSTOM DEVELOPMENT PART,Guide straightness and wet contamination qualification remain physical CTQs.
WP02-015,GS19_FIXED_BODY_EXACT_VENDOR_BREP,1,Primary arm drive,COTS AUTHENTIC VENDOR BREP SPLIT,ACE Controls,GS-19-50-V4A-B8-B8,Vendor-defined stainless assembly,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT,0.340000000,EXTERNAL EVIDENCE REQUIRED,300 +/- 30 N F1 at 20 C is the controlled development procurement/charge specification; existing unit charge is not verified.
WP02-016,GS19_MOVING_ROD_EXACT_VENDOR_BREP,1,Primary arm drive,COTS AUTHENTIC VENDOR BREP SPLIT,ACE Controls,GS-19-50-V4A-B8-B8,Vendor-defined stainless assembly,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT,0.080000000,EXTERNAL EVIDENCE REQUIRED,Rod is translated without scaling; 23.074 mm mechanism travel remains within the 50 mm GS stroke.
WP02-017,GS19_FIXED_ANCHOR,1,Primary arm drive,CUSTOM RIGID,STINGRAY,STG-WP02-017,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.005503297,CUSTOM DEVELOPMENT PART,
WP02-018,GS19_MOVING_ADAPTER,1,Primary arm drive,CUSTOM RIGID,STINGRAY,STG-WP02-018,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.007789899,CUSTOM DEVELOPMENT PART,
WP02-019,HBD15_BODY_DRAWING_DERIVED,1,Motion damping,COTS DRAWING-DERIVED,ACE Controls,HBD-15-25-AA-P,Black anodized aluminum / hard-chrome steel,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,0.160000000,EXTERNAL EVIDENCE REQUIRED,"Exact configured vendor CAD and ordered suffix confirmation remain required; model uses the official OD, stroke and extended-length envelope."
WP02-020,HBD15_ROD_DRAWING_DERIVED,1,Motion damping,COTS DRAWING-DERIVED,ACE Controls,HBD-15-25-AA-P,Black anodized aluminum / hard-chrome steel,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD,0.060000000,EXTERNAL EVIDENCE REQUIRED,HBD motion is 21.874 mm after 1.2 mm lost motion; gross nominal reserve is 3.126 mm and residual reserve is 1.626 mm after the 1.5 mm external-stop allowance.
WP02-021,HBD_MOVING_LOST_MOTION_COUPLER,1,Motion damping,CUSTOM RIGID,STINGRAY,STG-WP02-021,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.007982785,CUSTOM DEVELOPMENT PART,"1.20 mm slot take-up is a tolerance-control feature, not uncontrolled free travel."
WP02-022,HBD_CAPTIVE_BYPASS_CARRIAGE,1,Motion damping,CUSTOM RIGID,STINGRAY,STG-WP02-022,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.008985884,CUSTOM DEVELOPMENT PART,Nonfragmenting fallback replaces the inherited shear-fuse concept.
WP02-023,HBD_BYPASS_RAIL_AND_SHOULDER_SET,2,Motion damping,CUSTOM RIGID,STINGRAY,STG-WP02-023,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.012563229,CUSTOM DEVELOPMENT PART,
WP02-024,HBD_BYPASS_DETENT_SET,2,Motion damping,CUSTOM CALIBRATED,STINGRAY,STG-WP02-024,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.000372888,CUSTOM DEVELOPMENT PART,Release force is analytically specified but requires lot-level physical calibration.
WP02-025,BACKUP_SPRING_LHL625D12,1,Passive redundant arm drive,COTS DRAWING-DERIVED,Lee Spring,LHL 625D 12,"Alloy spring steel, orange powder coat",MANUFACTURER-CATALOG-DERIVED; AUTHENTIC CAD DOWNLOAD NOT RETRIEVED,0.180000000,EXTERNAL EVIDENCE REQUIRED,Selected after rejecting inherited spring; procurement certificate and incoming rate/length inspection required.
WP02-026,BACKUP_SPRING_FIXED_REACTION_SEAT,1,Passive redundant arm drive,CUSTOM RIGID,STINGRAY,STG-WP02-026,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.009129692,CUSTOM DEVELOPMENT PART,
WP02-027,BACKUP_SPRING_MOVING_SEAT,1,Passive redundant arm drive,CUSTOM RIGID,STINGRAY,STG-WP02-027,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.007619069,CUSTOM DEVELOPMENT PART,
WP02-028,BACKUP_SPRING_GUIDE_PUSHROD,1,Passive redundant arm drive,CUSTOM RIGID,STINGRAY,STG-WP02-028,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.045203524,CUSTOM DEVELOPMENT PART,
WP02-029,DEPLOYED_STOP_PAD_SET,3,Arm stop,CUSTOM REPLACEABLE,STINGRAY,STG-WP02-029,Polyurethane 90A,CUSTOM REGENERABLE CAD,0.000181125,CUSTOM DEVELOPMENT PART,Material lot compression curve and saltwater aging require physical characterization.
WP02-030,POSITIVE_LOCK_HOUSING_SET,3,Deployed retention,CUSTOM RIGID,STINGRAY,STG-WP02-030,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.003832964,CUSTOM DEVELOPMENT PART,
WP02-031,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,3,Deployed retention,CUSTOM RIGID,STINGRAY,STG-WP02-031,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.005999672,CUSTOM DEVELOPMENT PART,Witness extension is directly visible only with the corresponding WP01 cover open.
WP02-032,CROSSHEAD_SEAR,1,Stowed retention,CUSTOM RIGID,STINGRAY,STG-WP02-032,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.001332287,CUSTOM DEVELOPMENT PART,WP03 owns the exact release cable and common water-activation interface.
WP02-033,CROSSHEAD_SEAR_HOUSING,1,Stowed retention,CUSTOM RIGID,STINGRAY,STG-WP02-033,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.001047975,CUSTOM DEVELOPMENT PART,
WP02-034,COVER_SEQUENCED_ARM_STOW_LATCH_SET,3,Stowed arm retention,CUSTOM RIGID,STINGRAY,STG-WP02-034,17-4PH stainless steel,CUSTOM REGENERABLE CAD,0.003445194,CUSTOM DEVELOPMENT PART,Cover cam profile and opening torque require WP01/WP02 physical correlation; digital sequence is cover-open-first.
