candidate_id,manufacturer,mpn_configuration,product_page,official_drawing,official_cad,material,finish,dimensions,mass,ratings_capability,seawater_environment,lifecycle_status,distributor,coc_availability,material_cert_availability,lot_serial_heat_traceability,procurement_evidence,delivered_item_coc_status,maturity_level,evidence_limit
C-001,Leland Gas Technologies,89070,https://www.lelandltd.com/cylinders.html,APPLICATION DRAWING REQUIRED,UNVERIFIED,"Steel puncture-type non-refillable cartridge; exact alloy/plating UNVERIFIED",UNVERIFIED,"1.18 in diameter x 8.07 in length; 100 mL water capacity; 1/2-20 neck",UNVERIFIED,"70.0 g CO2; family storage guidance protects from below 32 F and above 120 F; exact pressure unpublished",Seawater exposure and inflator application UNVERIFIED,Current official catalog listing,Leland direct / authorized distributor to be confirmed,UNVERIFIED,Pressure/regulatory construction statement required,"Lot/date/minimum gross weight and package mapping required",No quote or application letter,NOT RECEIVED,3,"Catalog identity verified; APPLICATION APPROVAL REQUIRED for every captured water inflator; transport approval is not device approval"
C-002,Leland Gas Technologies,81121,https://www.lelandltd.com/cylinders.html,UNVERIFIED,UNVERIFIED,Carbon-steel disposable pressure cylinder,UNVERIFIED,"0.735 in diameter x 3.25 in length; 3/8-24",UNVERIFIED,"12 g CO2; MIL-C-6016 Type II note",UNVERIFIED,Current catalog listing,Leland direct / Amron,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Distributor listing exists; no quote",NOT RECEIVED,3,"Baseline identity only; rejected as sole 60 L source"
C-003,Nordson MEDICAL / Halkey-Roberts,V95000 Hydro 1F family,https://fluid-components.nordsonmedical.com/Products/Inflation-Products/,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-Drawing-V95000xxB.pdf,UNVERIFIED,"Glass-reinforced nylon and marine stainless per current product description",Vendor standard,"1/2-20 when S suffix absent; 3/8-24 with S; lanyard suffix by drawing",UNVERIFIED,"Automatic immersion with V80040 plus manual backup; exact 24/33/38 g rearm configurations published by Leland; universal mass limit not public",Marine lifejacket use; mission seawater duration UNVERIFIED,Current family,Nordson MEDICAL direct/trade,HR CoC UNVERIFIED,Material declaration by RFQ,"Bobbin manufacture/expiration; assembly lot requested","Official current product drawing/service evidence; no quote",NOT RECEIVED,4,"PUBLISHED CONFIGURATION SUPPORTED with exact Leland 84204Z/85202Z/86202Z kits; 60 g and larger remain APPLICATION APPROVAL REQUIRED"
C-004,Nordson MEDICAL / Halkey-Roberts,V80040,https://fluid-components.nordsonmedical.com/Products/Inflation-Products/,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Alpha-Inflator-V80040-Bobbin-Instructions-For-Use.pdf,NOT APPLICABLE,Microcrystalline-cellulose pill/polymer carrier,Yellow; other finish N/A,Per vendor drawing/IFU,UNVERIFIED,"Disintegrates submerged; tested -5 to 70 C per UL1191 and ISO12402-7",Marine intended; fuel/oil warning,Current; expiration marked,Nordson MEDICAL / marine distributors,UNVERIFIED,NOT APPLICABLE,Manufacture and expiration dates marked,NONE,NOT RECEIVED,3,"False activation and mission environment unverified"
C-005,Swagelok,SS-4C-1/3,https://products.swagelok.com/en/c/fixed-pressure/p/SS-4C-1%252F3,Official catalog linked,3D and 2D offered,316 stainless / FKM,Standard,"1/4 in tube fitting ends",UNVERIFIED,"3000 psig at 100 F; Cv 0.47; 1/3 psi crack",General service; seawater exterior UNVERIFIED,Current,Swagelok authorized sales center,Certificates by RFQ UNVERIFIED,Material cert by RFQ UNVERIFIED,Heat/lot trace by RFQ UNVERIFIED,Orderable catalog page; no quote,NOT RECEIVED,3,"CO2 cold-flow and marine exposure unverified"
C-006,Swagelok,SS-400-3,https://products.swagelok.com/,Official catalog UNVERIFIED,UNVERIFIED,316 stainless,Standard,"1/4 in tube union tee; exact dimensions UNVERIFIED",UNVERIFIED,Pressure rating depends tube/configuration,Exterior seawater UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,2,"Exact current page/drawing not captured"
C-007,Swagelok,KVV11DE1,https://products.swagelok.com/en/c/adjustable-relief-valve/p/KVV11DE1,Official product data,CAD view offered,316 stainless / FKM,Standard,"1/4 in male NPT x 1/4 in female NPT",UNVERIFIED,"0-100 psig adjustable relief range; public flow/reseat data absent",Exterior seawater and submerged backpressure UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,UNVERIFIED,Serial/lot and calibrated set trace by RFQ,Orderable page; no quote,NOT RECEIVED,3,"Bench reference only; no set until buoy MAWP and differential requirement close"
C-008,Swagelok,316L-HDF4-300,https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-HDF4-300,https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf,2D/3D offered,316L stainless,Standard,"50.8 mm diameter x 227 mm length; 300 cm3",0.73 kg,"DOT-3E; 1800 psig at 37 C; -53 to 426 C catalog material range",Material favorable; full seawater assembly UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,UNVERIFIED,DOT marking; heat/serial trace UNVERIFIED,Orderable catalog page; no quote,NOT RECEIVED,3,"CO2 fill density and recharge approval not established"
C-009,Swagelok,SS-4R3A1,https://products.swagelok.com/en/c/high-pressure-relief-valve/p/SS-4R3A1,Official catalog linked,2D/3D offered,316 stainless / FKM,Standard,"1/4 in MNPT x 1/4 in tube",UNVERIFIED,High-pressure proportional relief; exact spring range UNVERIFIED,Exterior seawater UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,UNVERIFIED,UNVERIFIED,Orderable catalog page; no quote,NOT RECEIVED,3,"Exact set range/suffix not frozen"
C-010,Clippard,SRR-14-4,https://www.clippard.com/part/SRR-14-4,Official product/catalog linked,CAD UNVERIFIED,Stainless body; seals UNVERIFIED,UNVERIFIED,"7/8 in bore; stroke and length UNVERIFIED",UNVERIFIED,Pressure/force/cycles UNVERIFIED,Seawater UNVERIFIED,Current,Clippard direct/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,2,"Identity supported; technical fit not yet supported"
C-011,ACE Controls,GS-19-50-V4A-B8-B8,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a/gs-19-50-v4a.html,Official drawing linked,Authentic vendor STEP inherited in baseline,Stainless V4A configuration,Vendor standard,"19 mm class; 50 mm stroke",UNVERIFIED,"Ordered force 300 +/- 30 N; family rating per vendor",Corrosion resistant family; seawater cycles UNVERIFIED,Current configurable,ACE direct/authorized distributor,Available as order option per baseline record,UNVERIFIED,Order/serial trace by RFQ,NONE,NOT RECEIVED,3,"Exact force and B8/B8 configuration needs order confirmation"
