"part_number","subsystem_or_category","description","candidate_reason","status"
"DF8-WATER-BOBBIN-SERVICE-CAP-001","","CAPTIVE WATER-BOBBIN THREADED/BAYONET SERVICE CAP","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-NOSE-001","","TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BALLAST-001","","FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-FWD-SHELL-001","","FORWARD GRADE-9 TITANIUM SHELL WITH CONTROLLED WATER PORT","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STRUCT-RING-PLAIN-001","","PRIMARY STRUCTURAL TRANSITION RING WITH FOUR TAPPED CARRIER LANDS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STRUCT-RING-ROUTED-001","","STRUCTURAL RING WITH ROUTE PASSAGES, ARM RELIEFS AND FULLFLOW CIRCLIP REACTION CAGE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-FWD-LONGERON-001","","FORWARD PRIMARY LOAD-PATH LONGERON","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-CARTRIDGE-CARRIER-001","","FOUR-CARTRIDGE DOUBLE-PLATE CARRIER","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-COLLECTION-MANIFOLD-001","","FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-PUNCTURE-HEAD-001","","CARTRIDGE PUNCTURE HEAD WITH CONTROLLED NEEDLE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BOOSTER-RESERVOIR-001","","13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES","C-001 exact identity is verified; significant interface change and unresolved external-pressure, fill/relief, field-refill and certificate evidence require qualified test before CAD.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BOOSTER-BAND-001","","CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001","","PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER","C-001 exact identity is verified; significant interface change and unresolved external-pressure, fill/relief, field-refill and certificate evidence require qualified test before CAD.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","","SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT","C-001 exact identity is verified; significant interface change and unresolved external-pressure, fill/relief, field-refill and certificate evidence require qualified test before CAD.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BOOSTER-COLLECTION-LINE-001","","SHORT 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-WATER-TRIGGER-HSG-001","","CENTRAL WATER-SENSITIVE TRIGGER HOUSING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-WATER-INLET-001","","RADIAL FLOOD INLET, GLAND AND ANTI-DEBRIS SCREEN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-FULLFLOW-VALVE-001","","DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001","","TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001","","LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-FIXED-SECTOR-001","","ANALYTIC CYLINDRICAL FIXED BODY SECTOR","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003","","FIXED SECTOR 3 WITH TWO RADIAL M3 BACKUP-GUIDE HEAD POCKETS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ROUTED-LONGERON-001","","PRIMARY LONGERON WITH TWO JIG-BORED ROUTE CHANNELS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-GUIDE-LONGERON-003","","PRIMARY LONGERON 3 WITH TWO RADIAL BACKUP-GUIDE M3 CLEARANCE BORES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ARM-BLADE-001","","733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM WITH SWEPT STOP-HARDWARE RELIEFS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-PIVOT-CARRIER-001","","MATCHED DOUBLE-SHEAR PIVOT LUG SET WITH SWEPT BELL-CLEVIS ACCESS AND OBLIQUE STOP-LAND BORES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-PIVOT-PIN-008","","8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-PIVOT-BUSH-008","","8 MM PEEK-LINED PIVOT BUSHING","C-013 envelope mismatch and official iglide G guidance says not for underwater applications.","PHASE4_REJECTED_RETURN_CUSTOM"
"DF8-R2-PIVOT-WASHER-008","","8 MM PEEK THRUST WASHER","C-014 0.5 mm catalog thickness mismatches 0.18 mm authored stack and official iglide G guidance says not for underwater applications.","PHASE4_REJECTED_RETURN_CUSTOM"
"DF8-R2-PIVOT-SPIRAL-RING-008","","8 MM EXTERNAL SPIRAL PIVOT RETAINER","C-015 exact 316 suffix/load basis verified; existing groove requires bounded revision and submerged/service/certificate approval.","PHASE4_ACCEPT_PENDING_OWNER_VENDOR_APPLICATION_APPROVAL"
"DF8-R2-SHORT-LINK-001","","19.950 MM CENTER-DISTANCE REAMED SHORT LINK","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-LINK-PIN-004","","4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ARM-STOP-PAD-001","","REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-FIXED-STOP-001","","80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STOW-DOG-001","","CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STOW-DOG-GUIDE-001","","FULL-STROKE AFT-RING-MOUNTED STOW-DOG U-GUIDE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STOW-DOG-RETURN-SPRING-001","","CAPTIVE STOW-DOG RADIAL RETURN SPRING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STOW-DOG-INHIBIT-PIN-001","","WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-STOW-DOG-INHIBIT-KEEPER-001","","CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AUTO-LOCK-DOG-001","","SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AUTO-LOCK-SPRING-001","","CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AUTO-LOCK-BUSHING-001","","PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-CROSSHEAD-001","","ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-CROSSHEAD-GUIDE-001","","CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-CROSSHEAD-GUIDE-SPIDER-001","","THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-SPRING-16N-001","","CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-SPRING-FIXED-SEAT-001","","BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-SPRING-MOVING-SEAT-001","","BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BACKUP-SPRING-GUIDE-001","","BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001","","DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001","","DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ACTUATOR-PIN-004","","4 MM CAPTIVE ACTUATOR CLEVIS PIN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-ACTUATOR-E-RING-004","","4 MM ACTUATOR PIN RETAINER","C-016 exact identity/groove/load basis verified; two existing mating grooves require bounded revision with no new adapter line.","PHASE4_ACCEPT_FOR_CAD_IMPLEMENTATION"
"DF8-FINAL-GAS-MAIN-001","","COMPLETE TERMINATED GAS MAIN ASSEMBLY","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-PILOT-LINE-001","","COMPLETE TERMINATED PILOT LINE ASSEMBLY","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-BOWDEN-SHEATH-001","","COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-BOWDEN-WIRE-001","","COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-GAS-MAIN-RING-GLAND","","GAS MAIN TWO-COLLAR BULKHEAD GLAND","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-PILOT-LINE-RING-GLAND","","PILOT LINE TWO-COLLAR BULKHEAD GLAND","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-BOWDEN-SHEATH-RING-GLAND","","BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER","","SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER","","SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER","","SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-WP04-FULLFLOW-MANIFOLD","","WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-WP04-MANIFOLD-BRACKET","","WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AFT-SHELL-001","","AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AFT-ROUTE-RING-001","","AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-AFT-LONGERON-001","","AFT PRIMARY LOAD-PATH LONGERON","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-RB-001-R2","","SPRING REACTION BULKHEAD WITH GUIDE-RAIL BORES AND PERMANENT SHELL LAND","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-GUIDE-RAIL-001-R2","","FOLLOWER ANTI-ROTATION GUIDE RAIL WITH TWO M3 CAPTIVE-SCREW END LANDS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-FOL-001-R2","","CAPTIVE PEEK FOLLOWER WITH THREE GUIDE SLOTS","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-FINAL-WP04-EJECTOR-SPRING-001","","CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING","C-012 manufacturer dynamic stroke is 31.82 mm versus 85 mm required; clean baseline explicitly records VD-244 as unsuitable.","PHASE4_REJECTED_RETURN_CUSTOM"
"WP04-FIXED-GUIDE-SLEEVE-R2","","BULKHEAD-MOUNTED FIXED TELESCOPING SPRING GUIDE AND SEAT","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-MOVING-GUIDE-SLEEVE-R2","","FOLLOWER-MOUNTED INNER TELESCOPING SPRING GUIDE SLEEVE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-LATCH-HOUSING-R2","","RADIAL FOLLOWER LATCH HOUSING WITH REAMED SEAR GUIDE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-LATCH-SEAR-R2","","CAPTIVE RADIAL FOLLOWER SEAR PLUNGER WITH RETAINING RING","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP04-LATCH-SEAR-E-RING-R2","","4 MM SEAR PIN EXTERNAL RETAINING RING","C-016 exact identity/groove/load basis verified; two existing mating grooves require bounded revision with no new adapter line.","PHASE4_ACCEPT_FOR_CAD_IMPLEMENTATION"
"WP04-RHP-001-R2","","INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP05-SERVICE-THROAT-R2","","AFT SERVICE THROAT WITH CONTROLLED DETENT BORES","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP05-DOOR-R2","","CAPTIVE LOW-FORCE AFT DOOR WITH HINGE AND LANYARD EYE","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP05-HINGE-PIN-R2","","DOOR HINGE PIN WITH EXTERNAL RETAINER","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"WP05-HINGE-CRESCENT-RING-R2","","3 MM HINGE-PIN EXTERNAL CRESCENT RETAINER","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-BUOY-GORE-01","","60 L BUOY GORE 1 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-02","","60 L BUOY GORE 2 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-03","","60 L BUOY GORE 3 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-04","","60 L BUOY GORE 4 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-05","","60 L BUOY GORE 5 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-06","","60 L BUOY GORE 6 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-07","","60 L BUOY GORE 7 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-BUOY-GORE-08","","60 L BUOY GORE 8 OF 8","C-006 exact SKU is verified, but manufacturer capacity/envelope/pressure/load data are absent and physical two-specimen qualification is required.","PHASE4_ACCEPT_FOR_PHYSICAL_TEST_BEFORE_CAD"
"DF8-R2-HARNESS-BAND-1","","X-6292 STRUCTURAL HARNESS CLOSED BAND 1","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
"DF8-R2-HARNESS-BAND-2","","X-6292 STRUCTURAL HARNESS CLOSED BAND 2","Must remain custom pending architecture-safe catalog replacement evidence.","DEFERRED"
