part_number,part_name,classification,subsystem,included,exclusion_reason,classification_rationale,source_geometry_path,render_png_path,camera_view_note,timestamp,png_sha256,render_status,unrenderable_reason,source_commit_sha,geometry_state,tessellation_tolerance_mm,triangle_count,occurrence_count,occurrence_ids,function_summary,material,manufacturer,cad_classification,volume_mm3,solid_count,face_count
AMSTEEL-BLUE-872-7-64-R2,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,MAKE,Load path / recovery attachment,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[AMSTEEL-BLUE-872-7-64-R2].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_AMSTEEL-BLUE-872-7-64-R2.png,"Orthographic hero view; source axes xyz -> display axes xyz; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,8428de938742a0da734a09dda41f4e0673fa5ea2c1e1091bf797d6312e82fd4b,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.10557935463148087,74962,1,RECOVERY-TETHER-001,Carries or retains the recovery load path between the buoy harness and rigid body hardpoint.,HMPE rope,Samson Rope Technologies raw line / STINGRAY finished splices,DRAWING_DERIVED,559.5777177068609,1,22
DF8-FINAL-BOWDEN-SHEATH-001,COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-BOWDEN-SHEATH-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-BOWDEN-SHEATH-001.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,aa5f21c448799fdfef5389f489c611f8a4925614c4c55e28efefc0fc219100bd,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,19818,1,ROUTE-BOWDEN-SHEATH-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,PTFE liner / 316 stainless spiral-and-overbraid composite / 316 swaged terminal sleeves,STINGRAY controlled route assembly,DRAWING_DERIVED,1766.7248807591698,1,78
DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,b636746ad43430ce60176eda1775d89a8b53dfcb3ddfc523ec6435ba61fbd1f2,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,3024,1,ROUTE-LINER-BOWDEN-SHEATH-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,PEEK,STINGRAY controlled guide-liner drawing,DRAWING_DERIVED,2242.3826936618307,1,12
DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-BOWDEN-SHEATH-RING-GLAND].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-BOWDEN-SHEATH-RING-GLAND.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,35ea19a2cdc1e8d01e69977d4df644adc3cf472230e356c5f8c2cbd00e419f6c,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.024385241438214224,2016,2,GLAND-BOWDEN-SHEATH-AFT;GLAND-BOWDEN-SHEATH-FWD,Carries the modeled pressure or mechanical-control path between terminated interfaces.,316 stainless steel,STINGRAY controlled micro-fitting drawing,DRAWING_DERIVED,85.5023396423367,1,8
DF8-FINAL-BOWDEN-WIRE-001,COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-BOWDEN-WIRE-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-BOWDEN-WIRE-001.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,0c2d57096a68b7bdb611eae9311dcc7be49f7641addbc191efe9ecd80ff9520a,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,6370,1,ROUTE-BOWDEN-WIRE-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,0.60 mm 1x19 cold-worked 316 stainless wire with 316 swaged terminal barrels,STINGRAY controlled route assembly,DRAWING_DERIVED,343.378967568904,1,52
DF8-FINAL-GAS-MAIN-001,COMPLETE TERMINATED GAS MAIN ASSEMBLY,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-GAS-MAIN-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-GAS-MAIN-001.png,"Orthographic hero view; source axes xyz -> display axes zxy; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,06255fd48b747a5d9550d2a8d3024b277e45b4c1658aab8788510b8893d0e32f,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,10196,1,ROUTE-GAS-MAIN-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy,STINGRAY controlled route assembly,DRAWING_DERIVED,1690.2808860492232,1,40
DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,aaae30cefbf3c3a3d90601fce6024dd95a2fdec4fb2a7268586372aa3b80d588,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,3024,1,ROUTE-LINER-GAS-MAIN-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,PEEK,STINGRAY controlled guide-liner drawing,DRAWING_DERIVED,1309.204011839516,1,12
DF8-FINAL-GAS-MAIN-RING-GLAND,GAS MAIN TWO-COLLAR BULKHEAD GLAND,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-GAS-MAIN-RING-GLAND].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-GAS-MAIN-RING-GLAND.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,ea2596fe1c46497e201c31ee51af40e5a637bb0e22d32e0d54a3b6fdcfa596a9,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.02499439937265947,2016,2,GLAND-GAS-MAIN-AFT;GLAND-GAS-MAIN-FWD,Carries the modeled pressure or mechanical-control path between terminated interfaces.,316 stainless steel,STINGRAY controlled micro-fitting drawing,DRAWING_DERIVED,97.87770142335758,1,8
DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001.png,"Orthographic hero view; source axes xyz -> display axes xyz; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,27a2fc39f8db688d48705ce71d67dd86026be7104bf46d489aac05fbc2df5cf0,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.01626148064310415,940,3,MANIFOLD-FEED-CLAMP-1;MANIFOLD-FEED-CLAMP-2;MANIFOLD-FEED-CLAMP-3,"Collects or distributes flow between the cartridge, valve, and downstream route interfaces.",Ti-6Al-4V spring temper,STINGRAY controlled route-support drawing,DRAWING_DERIVED,34.678939328725775,1,15
DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001,TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001.png,"Orthographic hero view; source axes xyz -> display axes zxy; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,15464d6c50f4faffc3668e6c2505fa169c5a8396fe356c67189e251a529562dc,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,11982,1,ROUTE-MANIFOLD-FEED-001,"Collects or distributes flow between the cartridge, valve, and downstream route interfaces.",ASTM A269 TP316L seamless capillary tube,STINGRAY controlled pressure-route drawing,DRAWING_DERIVED,855.5758476669288,1,36
DF8-FINAL-PILOT-LINE-001,COMPLETE TERMINATED PILOT LINE ASSEMBLY,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-PILOT-LINE-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-PILOT-LINE-001.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,57a08db114cf5b39dbde4325596c04b574bc7270ab55d871b0963e3acfbda4e8,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,12424,1,ROUTE-PILOT-LINE-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,ASTM A269 TP316L seamless capillary tube; controlled silver-braze termination alloy,STINGRAY controlled route assembly,DRAWING_DERIVED,1061.9767111202632,1,85
DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,ebb0c8628b23c7b755fec27ae15c833b01f9469bef55d622f179283d6670795e,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.35,3024,1,ROUTE-LINER-PILOT-LINE-001,Carries the modeled pressure or mechanical-control path between terminated interfaces.,PEEK,STINGRAY controlled guide-liner drawing,DRAWING_DERIVED,2446.515530310461,1,12
DF8-FINAL-PILOT-LINE-RING-GLAND,PILOT LINE TWO-COLLAR BULKHEAD GLAND,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-PILOT-LINE-RING-GLAND].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-PILOT-LINE-RING-GLAND.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,2d36b15a1bfef6f87f947f17972cc2da035a5bb75ca352afdf50c560b7437d18,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.024238811852068987,2016,2,GLAND-PILOT-LINE-AFT;GLAND-PILOT-LINE-FWD,Carries the modeled pressure or mechanical-control path between terminated interfaces.,316 stainless steel,STINGRAY controlled micro-fitting drawing,DRAWING_DERIVED,82.40849919708144,1,8
DF8-FINAL-WP04-EJECTOR-SPRING-001,CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING,MAKE,Body ejection / buoy extraction,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-WP04-EJECTOR-SPRING-001].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-WP04-EJECTOR-SPRING-001.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,05e5a35a11d7095bbcb41d636f56b0861f63f466e13292d17fff2b77867258fc,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.1810304233311612,253628,1,WP04-EJECTOR-SPRING,Stores the mechanical energy that drives the aft follower and buoy package outward.,"EN 10270-3 1.4310 stainless spring wire, 2.00 mm",STINGRAY controlled spring drawing,DRAWING_DERIVED,3454.3569435004315,1,3
DF8-FINAL-WP04-FULLFLOW-MANIFOLD,WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-WP04-FULLFLOW-MANIFOLD].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-WP04-FULLFLOW-MANIFOLD.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,e4e98d08253bb9d445216c0c112f67ed1f4dd072adfcd416f9c917393eca6eef,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.02355589098293673,1008,1,WP04-FULLFLOW-MANIFOLD,"Collects or distributes flow between the cartridge, valve, and downstream route interfaces.",316 stainless steel,STINGRAY controlled manifold drawing,DRAWING_DERIVED,114.0398133253095,1,4
DF8-FINAL-WP04-MANIFOLD-BRACKET,WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET,MAKE,Gas / inflation path,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-FINAL-WP04-MANIFOLD-BRACKET].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-FINAL-WP04-MANIFOLD-BRACKET.png,"Orthographic hero view; source axes xyz -> display axes zxy; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,75d0c1d5b28f77bcb2ddafa78c898c27f772d87b527c290f5428b7f81bf4c5d1,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.01,12,1,WP04-MANIFOLD-BRACKET,"Collects or distributes flow between the cartridge, valve, and downstream route interfaces.",Ti-6Al-4V,STINGRAY custom,DRAWING_DERIVED,4.799999999999997,1,6
DF8-R2-ACTUATOR-E-RING-004,4 MM ACTUATOR PIN RETAINER,MAKE,Arm deployment / activation,true,,Included: unique modeled functional part definition; inclusion favored when ambiguous.,C:/Users/ANDRE.ANDREWSPC/Documents/Codex/2026-08-23/stingray-i5-s-df8-state-parity/work/r2_source/build_r2.py::build_state(STOWED)/PartCatalog[DF8-R2-ACTUATOR-E-RING-004].shape @ 61a58cbbccd0aae7a747b2a73046142cf1f44511,docs/presentations/stingray_df8_mechanical_breakdown/renders/MAKE_DF8-R2-ACTUATOR-E-RING-004.png,"Orthographic hero view; source axes xyz -> display axes zyx; fixed elev=23.0 deg, azim=-55.0 deg; fixed neutral Lambert lighting.",2026-08-23T12:36:47-05:00,26fc5ad6e8649bbf19b0a062131310cc1390d94fa818ac7fa7154c43782c8f23,RENDERED,,61a58cbbccd0aae7a747b2a73046142cf1f44511,STOWED,0.016126442028345685,860,4,GS19-CLIP-FIXED;GS19-CLIP-MOVING;HBD-CLIP-FIXED;HBD-CLIP-MOVING,Provides the modeled 4 mm actuator pin retainer; registered interfaces use external groove retainer.,1.4310 stainless spring steel,STINGRAY custom,DRAWING_DERIVED,5.5356798096071715,1,8
