finding_id,severity,review_cycle,summary,disposition,evidence,reviewed_manifest_sha256
IR-FR-001,CRITICAL,INITIAL,"Long-path traversal omitted 93 eligible files from freeze and evidence registers",CLOSED,"Long-path-safe re-enumeration: 669 files; zero missing/extra/duplicate/size/hash mismatches",e5a428fa34d4b658b526f7a524e9fb096f92fd3122a8c50854ee7618de61a573
IR-FR-002,MAJOR,INITIAL,"Evidence-state sequencing was premature or inconsistent",CLOSED,"Traceability sections 20/23/24/26 and AUD-020 follow actual evidence states",e5a428fa34d4b658b526f7a524e9fb096f92fd3122a8c50854ee7618de61a573
IR-FR-003,MINOR,INITIAL,"Slide/page 7 limitation banner crossed its border",CLOSED,"Corrected two-line textbox; actual PPTX/PDF page 7 visually verified",e5a428fa34d4b658b526f7a524e9fb096f92fd3122a8c50854ee7618de61a573
IR-FR-004,MINOR,INITIAL,"Slide/page 12 obscured open root naming nonconformance",CLOSED,"Slide/page 12 explicitly lists root assembly naming nonconformance under RELEASE FAIL",e5a428fa34d4b658b526f7a524e9fb096f92fd3122a8c50854ee7618de61a573
IR-FR-005,MINOR,INITIAL,"GS/HBD articulation children appeared separately orderable",CLOSED,"Procurement and COTS quantities zero; configuration included in parent; no separate purchase",e5a428fa34d4b658b526f7a524e9fb096f92fd3122a8c50854ee7618de61a573
IR-CL-001,MAJOR,CLOSURE-1,"Extracted-package verifier stale-file comprehension malformed",CLOSED,"Delivered verifier uses an if filter; EXT-009 and all 9 extraction integrity checks passed in clean run X04",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-CL-002,MAJOR,CLOSURE-1,"Dependency provenance stale/incomplete and reviewed-status transition undocumented",CLOSED,"All delivered Python/Node sources hash-bound after staging; runtime scopes and controlled transition documented",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-CL-003,MINOR,CLOSURE-1,"Release-index audit count stale",CLOSED,"Count-neutral references bind to machine-readable internal audit result",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-EX-001,MAJOR,PRELIMINARY-EXTRACTION,"EXT-005 over-constrained preserved vendor STEP AP214 as AP242",CLOSED,"X04 integrity PASS: 167 STEP files; 166 AP242-required; zero syntax/schema errors",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-EX-002,MAJOR,PRELIMINARY-REBUILD,"Legacy AP242 post-processing exceeded normal Windows path limits in a long extraction root",CLOSED,"X04 short-root PAIR build, renders, endpoint, five-angle, and full motion all passed; constraint documented",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-EX-003,MAJOR,PRELIMINARY-REBUILD,"Render compositor baseline inventory was missing from delivered rebuild source",CLOSED,"X04 regenerated all 12 renders using the exact hash-bound baseline inventory",789fd4b0528520b9512d2cc4aea45b4fea8275633b5289d2523fe7f2d7a062e0
IR-FC-001,MINOR,FINAL-CLOSURE-1,"Unreleased pressure/inflation drawing row referenced nonexistent PORT_TO_PORT_TABLE.csv",CLOSED,"Register and authoritative/delivered generators reference the existing 04_INTERFACES/PORT_TO_PORT_CONNECTION_TABLE.csv; independent set/hash/references recheck passed",9e6abbc4ed1a78e0b637bc8fb59344da3a87b089102944e3e10955ea66074a90
