requirement_id,allocated_functions,architecture_A,architecture_B,architecture_C,selected_verification,evidence_status,open_issue
CH-REQ-001,"arm actuation; guidance; stops; locks",PROVISIONAL,PROVISIONAL,PROVISIONAL,"new CAD motion + 3-arm physical deployment",OPEN,"No architecture inherits baseline motion"
CH-REQ-002,"penetrator; arms; tether/load transfer",PROVISIONAL,PROVISIONAL,PROVISIONAL,"representative fabric engagement test",OPEN,"Fabric type and engagement loads unknown"
CH-REQ-003,"inflation; buoy; tether/load transfer",PROVISIONAL,PROVISIONAL,PROVISIONAL,"buoyancy + recovery load test",OPEN,"Commercial buoy module not yet selected"
CH-REQ-004,"water sensing; trigger; gas storage",PASS-CONCEPT,PROVISIONAL,PASS-CONCEPT,"underwater activation article",OPEN,"Salt/fouling/repeatability unverified"
CH-REQ-005,"water sensing through deployment",PASS-CONCEPT,PASS-CONCEPT,PASS-CONCEPT,"design inspection + power-off test",OPEN,"None uses electricity"
CH-REQ-006,"body; arm guidance; modules",RISK,RISK,RISK,"new tolerance envelope",OPEN,"Candidate arrangement only"
CH-REQ-007,"body structure",RISK,RISK,RISK,"new packaging study",OPEN,"53 mm is target"
CH-REQ-008,"all rigid modules",PROVISIONAL,PROVISIONAL,PROVISIONAL,"new CAD length",OPEN,"No architecture layout implemented"
CH-REQ-009,"all functions",PROVISIONAL,PROVISIONAL,PROVISIONAL,"mass roll-up + scale",OPEN,"Estimates are class-4 architecture estimates"
CH-REQ-010,"all functions",PROVISIONAL,PROVISIONAL,PROVISIONAL,"mass budget",OPEN,"A 4.8 kg; B 3.4 kg; C 4.1 kg estimated reserve"
CH-REQ-011,"tether/load transfer; body",PASS-CONCEPT,PASS-CONCEPT,PASS-CONCEPT,"connectivity audit + proof test",OPEN,"Reuse function not geometry"
CH-REQ-012,"all exposed modules",RISK,PROVISIONAL,RISK,"materials review + salt-fog/immersion",OPEN,"Inflator/cylinder mixed materials"
CH-REQ-013,"all reset interfaces",STRONG,WEAK,STRONG,"timed field reset demonstration",OPEN,"B requires controlled recharge equipment"
CH-REQ-014,"release; actuation; backup; stops; locks",PROVISIONAL,PROVISIONAL,PROVISIONAL,"jam/failure deployment tests",OPEN,"Force margins not yet recalculated"
CH-REQ-015,"transport inhibit; locks",PASS-CONCEPT,PASS-CONCEPT,PASS-CONCEPT,"inhibit abuse and two-action verification",OPEN,"Custom interface retained"
CH-REQ-016,"trigger/release",PASS-CONCEPT,PASS-CONCEPT,PASS-CONCEPT,"design inspection",OPEN,"All candidates non-pyrotechnic"
CH-REQ-017,"arm actuation",PROVISIONAL,PROVISIONAL,PROVISIONAL,"new CAD measurement",OPEN,"Selected retains common crosshead concept"
CH-REQ-018,"arms",PASS-CONCEPT,PASS-CONCEPT,PASS-CONCEPT,"new CAD measurement",OPEN,"Custom arm remains"
CH-REQ-019,"arms; stops; locks; carrier",PROVISIONAL,PROVISIONAL,PROVISIONAL,"analysis + proof/ultimate",OPEN,"System recovery loads unknown"
CH-REQ-020,"gas storage",PASS, PASS, PASS,"vendor certificate and configuration review",OPEN,"B fill configuration approval open"
CH-REQ-021,"inflation; buoy",BASIS,BASIS,BASIS,"confirm buoy capacity",OPEN,"60 L approximate"
CH-REQ-022,"gas sizing",OPEN,OPEN,OPEN,"owner requirement + depth chamber test",OPEN,"Selection cannot be released without depth"
CH-REQ-023,"gas sizing",OPEN,OPEN,OPEN,"cold conditioning test",OPEN,"CO2 phase/flow strongly temperature dependent"
CH-REQ-024,"inflation",OPEN,OPEN,OPEN,"timed inflation test",OPEN,"No limit supplied"
CH-REQ-025,"relief; buoy",OPEN,OPEN,OPEN,"supplier data + set-pressure test",OPEN,"No relief value supplied"
CH-REQ-026,"recovery load transfer",OPEN,OPEN,OPEN,"owner loads + structural test",OPEN,"0.8 kN/arm is not full system load"
CH-REQ-027,"all functions",OPEN,OPEN,OPEN,"qualification program",OPEN,"Profile missing"
CH-REQ-028,"all changed geometry",NOT-INHERITED,NOT-INHERITED,NOT-INHERITED,"full 0-80 deg and endpoint validation",OPEN,"Baseline accepted only to 55 deg"
CH-REQ-029,"whole system",NOT-RELEASED,NOT-RELEASED,NOT-RELEASED,"owner and release authority",OPEN,"Owner Creo inspection first"
