"sequence","reset_step","major_component","service_level","procedure","tools_or_consumables","acceptance_check","cots_selection_impact","open_evidence"
"1","Recover unit","Complete DF8 and tether","OPERATOR FIELD REPLACEABLE","Recover by approved tether/hardpoint method; secure against unintended deployment and pressure release.","Recovery PPE; transport-safe restraints","Unit accounted for; no uncontrolled stored-energy state","COTS tether remains deferred; existing architecture retained","Approved recovery load/procedure UNVERIFIED"
"2","Safe and depressurize","CO2 / booster subsystem","FIELD SERVICEABLE WITH TOOL","Move to controlled safe area; isolate; vent through the designed protected path; confirm zero gauge pressure before disconnecting any fitting.","Rated vent interface; pressure gauge; PPE","Independent zero-energy confirmation","Commercial pressure candidate rejected by exact fit; controlled custom pressure subsystem retained.","Final pressure proof and release procedure remain downstream."
"3","Replace consumed CO2 cartridges or cylinder","Leland 81121 cartridges and selected reservoir","OPERATOR FIELD REPLACEABLE","Remove four spent cartridges and install verified correct replacements; exchange the booster cylinder only as a complete approved service article. Do not field-fill unless an approved filling station/procedure exists.","4 x Leland 81121; sealed replacement cylinder if approved","MPN/lot checked; seals undamaged; mass/pressure status per approved receiving procedure","Swagelok cylinder favors replace-only exchange over depot rebuild","Gas species/fill pressure and fill-station authority UNVERIFIED"
"4","Reset or replace water-sensitive element","Halkey-Roberts V80040","OPERATOR FIELD REPLACEABLE","Remove consumed bobbin; clean and dry inflator pocket; install in-date V80040 per manufacturer IFU; keep transport-safe inhibit engaged.","V80040 bobbin; clean dry wipes","Date/condition/orientation verified; manual safety state confirmed","Complete Hydro 1F inflator deferred; baseline bobbin retained","DF8 salinity/temperature activation distribution UNVERIFIED"
"5","Inspect or replace seals","Pressure head, line interfaces, buoy inlet, service door","FIELD SERVICEABLE WITH TOOL","Inspect for cuts, extrusion, swelling, corrosion, contamination, and compression set; replace only with controlled MPN/lot.","Seal kit; compatible lubricant if approved; magnification","No visible damage; controlled seal identity recorded","HIKO candidate rejected; controlled custom buoy and existing repack path retained.","Seal schedule, compatibility, and torque values UNVERIFIED"
"6","Repack buoy","HIKO 87640 candidate or retained custom buoy","FIELD SERVICEABLE WITH TOOL","Dry fully; inspect fabric, seams, inflation tube, relief/dump hardware, tether and folds; fold to the qualified pattern without sharp hardware contact.","Drying rack; fold template; inspection light","Pack envelope and extraction force within qualified limits","HIKO candidate rejected; controlled custom buoy and existing repack path retained.","Qualified fold pattern and inspection limits UNVERIFIED"
"7","Reset buoy-ejection system","WP04 ejector and VD-244 candidate","FIELD SERVICEABLE WITH TOOL","Inspect guides; reinstall qualified spring; compress with controlled fixture; latch follower; confirm positive retention.","Rated spring-compression fixture; guards; VD-244 if selected","Preload/travel/solid-height and latch engagement verified","VD-244 catalog spring improves repeatable replacement","Exact spring force and compression fixture procedure UNVERIFIED"
"8","Reset deployment arms","Three-arm mechanism","FIELD SERVICEABLE WITH TOOL","Inspect stops/locks/pivots; return all arms to stowed position using symmetric approved sequence; install transport-safe restraint.","Reset fixture; torque tools; inspection gauges","All arms at controlled stowed datums; no binding","COTS pivot consumables improve replaceability but do not change mechanism","Owner Creo acceptance and 56-80 degree motion remain open"
"9","Recompress backup spring mechanism","16 N/mm custom backup spring and crosshead","DEPOT SERVICE","Use a guarded axial fixture to compress the controlled custom spring and restore crosshead preload; never hand-compress stored-energy mechanism.","Guarded rated compression fixture; displacement/load measurement","Installed lengths and force window verified","Lee COTS spring rejected; backup spring remains controlled custom","Approved fixture and force tolerance UNVERIFIED"
"10","Reset GS-19 / HBD installation","ACE GS-19-50-V4A-B8-B8 and HBD-15-25-AA-P","FIELD SERVICEABLE WITH TOOL","Inspect rods, seals, end fittings, corrosion and free movement; reinstall at controlled attachment points; positively secure end fittings; adjust HBD only by approved procedure.","Torque tools; functional-force fixture","No leakage/corrosion; stroke and force/damping window pass","Existing COTS assemblies are replace-only if failed; HBD underwater test is immediate","Manufacturer does not publish underwater/external-pressure rating"
"11","Reset latch or sear","WP04 sear and arm locks","FIELD SERVICEABLE WITH TOOL","Inspect engagement surfaces and ring grooves; replace single-use/damaged retaining rings; set latch in transport-safe state.","Controlled rings; groove gauges; torque tools","Positive engagement and release force within qualified window","DC-4SS consolidation reduces custom ring inventory","Ring reuse policy and release-force window UNVERIFIED"
"12","Verify routing","Gas main, pilot line, Bowden sheath/wire","FIELD SERVICEABLE WITH TOOL","Check routing against controlled map, clamp engagement, minimum bend radius, chafe, slack and full mechanism travel.","Route gauge; visual aids","No chafe/kink; controlled clearance and travel","Configured COTS line/cable assemblies remain deferred","Exact COTS line/cable configuration UNVERIFIED"
"13","Verify pressure connections","Cylinder, cartridges, manifold, valves, tubing","FIELD SERVICEABLE WITH TOOL","Verify exact fittings, make-up marks, torque/make-up state, support and relief orientation; do not mix non-interchangeable fitting components.","Manufacturer gauges/tools; controlled torque/make-up instructions","Independent connection inspection complete","Selected cylinder requires new controlled interface","Interface design and torque/make-up records UNVERIFIED"
"14","Perform leak check","Complete pressure circuit","FIELD SERVICEABLE WITH TOOL","Use approved non-destructive leak method and rated protected fixture at the approved test pressure; no uncontrolled pneumatic proof test.","Qualified fixture; calibrated pressure/temperature/leak instruments; relief","Leak rate and pressure decay within approved criterion","Catalog pressure hardware enables repeatable connection testing","Test pressure, dwell, and leakage limit UNVERIFIED"
"15","Perform function check","Water trigger, inflation, ejection, arms, locks","DEPOT SERVICE","Use inert/safe simulants or approved protected test setup to verify trigger-to-release sequence, ejection, deployment and locking without uncontrolled high energy.","Instrumented fixture; remote operation where appropriate","Sequence timing and end states meet approved limits","Test articles build evidence before CAD selection","Pass/fail timing and force limits UNVERIFIED"
"16","Restore transport-safe configuration","Complete DF8","OPERATOR FIELD REPLACEABLE","Install transport inhibit; verify pressure isolation, trigger protection, arm restraint, service door, labels and reset record.","Transport inhibit; tamper evidence; checklist","Two-person independent checklist complete","COTS service labels and serialized pressure article improve reset control","Final transport-safe checklist not approved"
