part_number,physical_title,description,revision,make_buy,manufacturer,quantity_stowed,quantity_deployed,material,finish,mass_each_kg,cad_classification,source_url,purchase_url,process,notes,verification_status
AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL_RECOVERY_TETHER_WITH_TWO_BURIED_EYE_SPLICES_HMPE,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,A,MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,1,1,HMPE rope,"Chafe-protected, heat-sealed and clean",0.09,EXACT_ANALYTIC,,,Controlled eye splices; chafe sleeve; finished-article proof load; Controlled rope construction and raw-lot CoC; finished length tolerance; occurrence-specific eye/thimble/ferrule traveler; splice or swage dimensional inspection; finished-article proof load,Ultimate recovery load runs hardpoint ring -> pin/thimble -> HMPE tether -> buoy harness. Cordura and hook-and-loop are bypassed.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-ACTUATOR-E-RING-004,4_MM_ACTUATOR_PIN_RETAINER_SS,4 MM ACTUATOR PIN RETAINER,A,MAKE,STINGRAY custom,4,4,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,4.345508650541629e-05,DRAWING_DERIVED,,,Stamp; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,B,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0031335454005427285,DRAWING_DERIVED,,,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,B,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.003098105400542728,DRAWING_DERIVED,,,5-axis mill; conformal fit to r=23 longeron land; qualified laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-ACTUATOR-PIN-004,4_MM_CAPTIVE_ACTUATOR_CLEVIS_PIN_SS,4 MM CAPTIVE ACTUATOR CLEVIS PIN,B,MAKE,STINGRAY custom,4,4,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.001280137647106325,DRAWING_DERIVED,,,Swiss turn; H900; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE_ARM_STOP_AND_AUTOMATIC-LOCK_STRIKE_SS,REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE,B,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.0011774163151587191,DRAWING_DERIVED,,,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT_LOCK_GUIDE_OUTER_RETAINER_BUSHING_PEEK,PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING,A,MAKE,STINGRAY custom,3,3,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",3.094528181635134e-07,DRAWING_DERIVED,,,Turn; press fit; inspect spring-clear bore and retention; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN_POSITIVE_DEPLOYED_LOCK_DOG_SS,SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG,A,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,8.408963611185206e-06,DRAWING_DERIVED,,,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,B,MAKE,STINGRAY custom,3,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,2.8560892651638403e-06,DRAWING_DERIVED,,,Micro-coil; stress relieve; inspect force and 1.65-4.95 mm installed lengths; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Endpoint B-reps bound the 3.30 mm snap-lock stroke; physical wire mass is state-invariant and the spring remains captive between the dog head and press-fit outer bushing.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,B,MAKE,STINGRAY controlled spring specification,1,1,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.092,DRAWING_DERIVED,,,Cold coil; closed-ground ends; stress relieve; 100% rate/length inspection; proof cycle; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,OD 15.8 mm; wire 3.0 mm; free length 195.0 mm; rate 16.0 N/mm; controlled drawing and proof acceptance.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE,B,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0042064835579726225,DRAWING_DERIVED,,,Mill-turn; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS,B,MAKE,STINGRAY custom,1,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.029068956937486064,DRAWING_DERIVED,,,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND,B,MAKE,STINGRAY custom,1,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.0073882012531716265,DRAWING_DERIVED,,,Mill-turn; pilot to crosshead spoke; qualified laser weld; dimensional inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-BALLAST-001,Forward_Ballast_W,"FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE",A,MAKE,STINGRAY custom,1,1,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,4.884227629259874,DRAWING_DERIVED,,,"CNC turn; wire-EDM socket; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER,C,MAKE,STINGRAY custom,1,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.01153710148317413,DRAWING_DERIVED,,,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0012339130177071314,DRAWING_DERIVED,,,5-axis mill; conformal fit to FWD-RING-02 bore; qualified three-spoke laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
