"candidate_id","df8_function_replaced","current_custom_partdefs","screened_make_definition_count","manufacturer","exact_mpn","description","material","finish","dimensions","mass","pressure_or_load_or_cycle_rating","environmental_compatibility","product_page","official_drawing","official_cad","availability_status","alternate_source","coc_posture","required_custom_adapter","architecture_impact","qualification_burden","selection_status","selection_rationale","evidence_retrieved_utc"
"C-001","Supplemental high-pressure gas storage","DF8-R2-BOOSTER-RESERVOIR-001;DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","3","Swagelok","316L-50DF4-150","Double-ended DOT-compliant sample cylinder","316L stainless steel","Standard cleaning and packaging SC-10","48.2 mm OD x 203 mm long; 150 cm3; 1/4 in FNPT both ends","1.4 kg","5000 psig / 344 bar working; DOT-3A","316L is corrosion-suitable for screening; external hydrostatic-pressure/collapse rating is UNVERIFIED","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-150","https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf","Manufacturer page offers 2D/3D/sales drawing; binary not retrieved","Catalog orderable through Swagelok sales/service; price login required","Swagelok local authorized sales and service center","Supplier CoC/material/heat/serial traceability availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Rated isolation valve; correct relief device; 1/4 NPT-to-DF8 distribution interface; structural cradle","MEDIUM-HIGH: one cylinder replaces three fabricated pressure-boundary definitions but radial fit is unresolved","Gas inventory; cold discharge; regulation; relief; external-pressure chamber; leak; corrosion; exact-fit CAD","SELECTED_FOR_QUALIFICATION","Preferred pressure-vessel lead because it provides the smallest official 5000 psig 316L package found. Selection is conditional; no CAD substitution is authorized.","2026-08-24T08:35:05Z"
"C-002","Supplemental high-pressure gas storage","DF8-R2-BOOSTER-RESERVOIR-001;DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","3","Swagelok","316L-HDF4-500","Double-ended DOT-compliant sample cylinder","316L stainless steel","Standard cleaning and packaging SC-10","50.8 mm OD x 351 mm long; 500 cm3; 1/4 in FNPT both ends","1.2 kg","1800 psig / 124 bar working; DOT-3E","External hydrostatic-pressure/collapse rating is UNVERIFIED","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-HDF4-500","https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf","Manufacturer page offers 2D/3D/sales drawing; binary not retrieved","Catalog orderable through Swagelok sales/service; price login required","Parker 4F-SC500D-SS","Supplier CoC/material/heat/serial traceability availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Valve/relief/regulator/cradle and DF8 interface","HIGH: 50.8 mm OD leaves essentially no radial structural allowance inside 53 mm OML","Same as C-001 plus severe package-fit proof","DEFERRED","Adequate ideal-gas inventory at rated pressure but package is longer and nearly equals the body OML diameter.","2026-08-24T08:35:05Z"
"C-003","Supplemental high-pressure gas storage","DF8-R2-BOOSTER-RESERVOIR-001;DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","3","Swagelok","316L-50DF4-300","Double-ended DOT-compliant sample cylinder","316L stainless steel","Standard cleaning and packaging SC-10","48.2 mm OD x 368 mm long; 300 cm3; 1/4 in FNPT both ends","2.5 kg","5000 psig / 344 bar working; DOT-3A","External hydrostatic-pressure/collapse rating is UNVERIFIED","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-300","https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf","Manufacturer page offers 2D/3D/sales drawing; binary not retrieved","Catalog orderable through Swagelok sales/service; price login required","Swagelok 316L-50DF4-150","RECEIVED-ITEM COC NOT VERIFIED","Valve/relief/regulator/cradle and DF8 interface","HIGH","Package fit; high-pressure qualification; mass reconciliation","REJECTED","More capacity than the provisional gas budget requires with materially greater length and mass than C-001.","2026-08-24T08:35:05Z"
"C-004","Supplemental high-pressure gas storage","DF8-R2-BOOSTER-RESERVOIR-001;DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","3","Parker Hannifin","4F-SC500D-SS","Double-ended sample cylinder","316 stainless steel","UNVERIFIED","51 mm OD x 352 mm long; 500 cm3; 1/4 in ports","1.14 kg","1800 psi / 124 bar service; DOT-3E; each cylinder hydrostatically tested 3000-4500 psi per catalog","External hydrostatic-pressure/collapse rating is UNVERIFIED","https://www.parker.com/content/dam/Parker-com/Literature/Instrumentation-Products-Division/Catalogs/Sample-Cylinders---PGI-CYL.pdf","https://www.parker.com/literature/Literature%20Files/IPDE/cat/english/4160-SC.pdf","Official catalog drawing; 3D CAD not verified","Catalog identity verified; current distributor stock UNVERIFIED","Swagelok 316L-HDF4-500","Independent inspection/test-report basis published; supplier CoC availability and received-item documents UNVERIFIED","Valve/relief/regulator/cradle and DF8 interface","HIGH","Same as C-002","DEFERRED","Technically credible alternate; not preferred because package fit is no better than C-002 and live procurement evidence is absent.","2026-08-24T08:35:05Z"
"C-005","Supplemental high-pressure gas storage","DF8-R2-BOOSTER-RESERVOIR-001;DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001;DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","3","Crane HOKE","4HDY500","Double-ended formed sampling cylinder","316 stainless steel","UNVERIFIED","500 mL; 1/4 in female NPT; 368 mm long; OD and mass UNVERIFIED","UNVERIFIED","1800 psig / 124 bar standard; up to 5000 psig special; ASME testing by quotation","External hydrostatic-pressure/collapse rating is UNVERIFIED","https://catalog.hoke.com/item/sampling-cylinders/formed-sampling-cylinders/4hdy500","https://catalog.hoke.com/viewitems/sampling-cylinders/formed-sampling-cylinders","Manufacturer CAD cart offered; binary not retrieved","Request for quotation; current lead time UNVERIFIED","Parker 4F-SC500D-SS","CoC/material/lot/serial availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Valve/relief/regulator/cradle and DF8 interface","HIGH","Pressure construction option must be fixed on purchase order; package fit and external pressure","DEFERRED","Valid alternate lead, but a special 5000 psig quotation is not equivalent to an exact catalog configuration and key dimensions remain unverified.","2026-08-24T08:35:05Z"
"C-006","60 L recovery buoy envelope","DF8-R2-BUOY-GORE-01;DF8-R2-BUOY-GORE-02;DF8-R2-BUOY-GORE-03;DF8-R2-BUOY-GORE-04;DF8-R2-BUOY-GORE-05;DF8-R2-BUOY-GORE-06;DF8-R2-BUOY-GORE-07;DF8-R2-BUOY-GORE-08","8","HIKO Sport","87640_OLV_ONE","FLOATEK FULL TAIL 60 L kayak buoyancy bag","Drifter 210D TPU-coated nylon","Olive","Approximately 97 x 68 cm flat; 60 L stated by authorized seller; packed envelope UNVERIFIED","UNVERIFIED","No published pressure/burst/load/cycle rating","Cold-flexible and abrasion-resistant claims published; saltwater aging and pressure-relief behavior UNVERIFIED","https://hikosport.com/en-eu/products/floatek-full-tail","UNVERIFIED","No official CAD expected for softgoods","Manufacturer page currently reports sold out; dealer availability exists but is not verified for US delivery","Manufacturer local-dealer network","Supplier CoC and lot traceability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Inflation-port adapter; rated relief/dump provision; DF8 harness and repack interface","MEDIUM-HIGH: preserves 60 L function but changes softgood pattern and valve architecture","Pack-volume; inflation at depth; seam/burst; relief; saltwater aging; tether load; two-specimen repeatability","SELECTED_FOR_QUALIFICATION","Only exact 60 L manufacturer SKU retained; selected for physical qualification, not for release or CAD implementation.","2026-08-24T08:35:05Z"
"C-007","Integrated recovery lift-bag and inflation architecture","DF8-R2-BUOY-GORE-01;DF8-R2-BUOY-GORE-02;DF8-R2-BUOY-GORE-03;DF8-R2-BUOY-GORE-04;DF8-R2-BUOY-GORE-05;DF8-R2-BUOY-GORE-06;DF8-R2-BUOY-GORE-07;DF8-R2-BUOY-GORE-08","8","Subsalve USA","RAPID RECOVERY SYSTEM - CUSTOM SIZE UNVERIFIED","Commercial recovery system with enclosed lift bag, tank pocket, yoke/check valve, and optional remote actuation","Heavy-duty urethane-coated nylon","UNVERIFIED","Standard catalog sizes do not establish a 60 L DF8 configuration","UNVERIFIED","Manufacturer states each bag is tested; exact small-size pressure/load rating UNVERIFIED","Purpose-built underwater recovery; external architecture compatibility remains UNVERIFIED","https://subsalve.com/products/rapid-recovery-system/","https://subsalve.com/wp-content/uploads/2025/10/2025-Subsalve-Catalog.pdf","No exact DF8-size CAD","Custom quotation required","Carter Lift Bags","Test certificate/CoC for a custom article must be specified on quotation; RECEIVED-ITEM COC NOT VERIFIED","Complete structural and packaging interface","HIGH","Custom-size design review; load; depth; pack; inflation; relief","DEFERRED","Strong COTS-heavy lead but no exact orderable 60 L configuration was found; not a targeted-retrofit selection.","2026-08-24T08:35:05Z"
"C-008","Recovery buoy","DF8-R2-BUOY-GORE-01;DF8-R2-BUOY-GORE-02;DF8-R2-BUOY-GORE-03;DF8-R2-BUOY-GORE-04;DF8-R2-BUOY-GORE-05;DF8-R2-BUOY-GORE-06;DF8-R2-BUOY-GORE-07;DF8-R2-BUOY-GORE-08","8","Carter Lift Bag Inc.","CB-100","Open-bottom lift bag","Urethane-coated nylon","UNVERIFIED","1.6 ft3 / approximately 45 L; 25 x 28 in","2 lb shipping weight","100 lb stated lift; no closed-bag pressure rating","Underwater lift use published; open-bottom configuration","https://carterbag.com/products/open-bottom-lift-bags","Manufacturer product page","No CAD expected","Online orderable","Carter CB-200","Supplier CoC/lot traceability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","New containment and ejection architecture","HIGH","Functional architecture mismatch","REJECTED","Open-bottom 45 L product does not meet the closed approximately 60 L buoy function.","2026-08-24T08:35:05Z"
"C-009","Water-sensitive initiation and full-flow inflation head","DF8-WATER-BOBBIN-SERVICE-CAP-001;DF8-R2-PUNCTURE-HEAD-001;DF8-R2-WATER-TRIGGER-HSG-001;DF8-R2-WATER-INLET-001;DF8-R2-FULLFLOW-VALVE-001","5","Nordson MEDICAL / Halkey-Roberts","V95000xxB Hydro 1F family; exact suffix UNVERIFIED","Automatic/manual inflator using V80040 bobbin","Engineering polymer and metal details UNVERIFIED","UNVERIFIED","Official drawing identifies 3/8-24 and 1/2-20 variants; exact envelope depends on suffix","UNVERIFIED","No published flow coefficient or four-cartridge/booster duty rating","Submerged-water actuation is documented for V80040; depth/salinity/cold response not fully qualified for DF8","https://fluid-components.nordsonmedical.com/Products/Inflation-Products/","https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-Drawing-V95000xxB.pdf","Official 2D drawing only","Family available; exact suffix and authorized source UNVERIFIED","Nordson MEDICAL sales","Supplier CoC/lot/batch availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Multi-cartridge collection and high-flow booster adapter","HIGH","Flow; cold CO2; four-cartridge simultaneity; bobbin timing; hydrostatic actuation; reset","DEFERRED","Exact configuration and flow capacity are not verified; retain the already-baselined V80040 bobbin and do not select the full inflator yet.","2026-08-24T08:35:05Z"
"C-010","Full-flow isolation valve","DF8-R2-FULLFLOW-VALVE-001","1","Swagelok","SS-CHS2-1","316 SS poppet check valve with 1/8 in tube fittings","316 stainless steel","Standard cleaning","Official product dimensions available through manufacturer CAD","UNVERIFIED","6000 psig catalog working pressure; flow data for DF8 rapid inflation not verified","316 SS; external submersion and seat contamination behavior UNVERIFIED","https://products.swagelok.com/en/c/fixed-pressure/p/SS-CHS2-1","Manufacturer product drawing","Manufacturer CAD available","Existing DF8 catalog item","None selected","Baseline supplier documentation exists; received-item CoC not verified","Actuation architecture would be lost","HIGH","Flow and functional-mode mismatch","REJECTED","A check valve cannot replace the commanded full-flow valve function merely because its pressure rating is high.","2026-08-24T08:35:05Z"
