pair_id,inflator_manufacturer,inflator_family_or_mpn,cartridge_mpn,charge_g,thread,water_element,manual_backup,published_basis,classification,holder_support_status,rearm_parts,status_note
IC-01,Nordson MEDICAL/Halkey-Roberts,"V95000 Hydro 1F; 1/2-20 suffix",84204Z,24,1/2-20,V80040,YES,"Leland exact V95000-84204Z rearm kit","PUBLISHED CONFIGURATION SUPPORTED","V90139UCHKIT/V90139UCH2KIT family; exact handed holder by installation","V80040 bobbin; V87405 gasket; V90113 pin","Supported functional-scale option"
IC-02,Nordson MEDICAL/Halkey-Roberts,"V95000 Hydro 1F; 1/2-20 suffix",85202Z,33,1/2-20,V80040,YES,"Leland exact V95000-85202Z rearm kit and LSC 470-CG/#484 configuration","PUBLISHED CONFIGURATION SUPPORTED","LSC installation-specific restraint or Nordson universal holder; exact handed part by RFQ","V80040; gasket; pin; LSC #474/#479-A2 equivalents","SELECTED TYPE-3 functional-scale pairing through LSC"
IC-03,Nordson MEDICAL/Halkey-Roberts,"V95000 Hydro 1F; 1/2-20 suffix",86202Z,38,1/2-20,V80040,YES,"Leland exact V95000-86202Z rearm kit; Nordson 830011001 life-vest manifold context","PUBLISHED CONFIGURATION SUPPORTED","V90139UCHKIT/V90139UCH2KIT family; exact handed holder by installation","V80040 bobbin; V87405 gasket; V90113 pin","Pair only; STINGRAY HP check/bus outlet is APPLICATION APPROVAL REQUIRED / NO PUBLISHED INTERFACE"
IC-04,Nordson MEDICAL/Halkey-Roberts,"V90000 Alpha; 1/2-20 suffix",85202Z,33,1/2-20,V80040,YES,"Leland exact V90000-85202Z rearm kit","PUBLISHED CONFIGURATION SUPPORTED","Manufacturer installation-specific restraint required","V80040; V90124 retaining clip; gasket","Supported alternate"
IC-05,Nordson MEDICAL/Halkey-Roberts,"V90000 Alpha; 1/2-20 suffix",87202Z,45,1/2-20,V80040,YES,"Leland-branded life-jacket selection guide exact kit reference","PUBLISHED CONFIGURATION SUPPORTED","Exact holder/support must be confirmed on current RFQ","V80040; V90124 retaining clip; gasket","Retain only after current-production confirmation"
IC-06,Nordson MEDICAL/Halkey-Roberts,"V90000 or V95000; 1/2-20 suffix",87203Z,60,1/2-20,V80040,YES,"No current official exact-device approval captured","APPLICATION APPROVAL REQUIRED","Required; body length and reaction support unapproved","Exact kit not published","Thread fit is not approval"
IC-07,Nordson MEDICAL/Halkey-Roberts,"V95000 Hydro 1F; 1/2-20 suffix",89070,70,1/2-20,V80040,YES,"No exact-device approval captured","APPLICATION APPROVAL REQUIRED","Required; long-body retention/reaction load unapproved","Exact kit not published","Prior provisional pairing remains unapproved"
IC-08,Nordson MEDICAL/Halkey-Roberts,"V95000 Hydro 1F; 1/2-20 suffix","89086 / 89092 / 89150","86 / 92 / 150",1/2-20,V80040,YES,"No exact-device approval captured","APPLICATION APPROVAL REQUIRED","Required; mass/length/reaction/flow limits unapproved","Exact kit not published","Large-cartridge automatic use prohibited from selection pending written approval"
IC-09,Leland,65026-18N12,"87203Z / 89070 / 89092 / 89150","60 / 70 / 92 / 150",1/2-20,NONE,NO,"Official manual puncture head has 1/2-20 inlet and CO2 service but no published cylinder-mass limits","APPLICATION APPROVAL REQUIRED","Independent cylinder support required","Integrated pin/seal service data required","Manual device alone does not satisfy water authorization"
IC-10,Nordson MEDICAL/Halkey-Roberts,"V86000 Pro 1F / V85000 Mark IV / 840 manual",ALL RETAINED,NA,"Configuration dependent",V80040_OR_BAYONET_OR_NONE,"Configuration dependent","No exact retained large-cartridge pairing captured","INSUFFICIENT EVIDENCE","Installation-specific","Configuration-specific","Not retained as preferred path"
