candidate_id,architectures,function,manufacturer,mpn_or_configuration,quantity_selected,classification,maturity_level,technical_disposition,source_url
C-001,A;C,gas storage,Leland Gas Technologies,89070 70 g CO2 1/2-20,"A:2; C:3",COMPLETE COTS MODULE,2,"SELECTED PROVISIONAL FOR C; A uses two; charge is adequate only after depth/cold/time closure",https://www.lelandltd.com/cylinders.html
C-002,BASELINE-REJECTED,gas storage,Leland Gas Technologies,81121 12 g CO2 3/8-24,4,COMPLETE COTS MODULE,3,"Catalog identity supported; 48 g total rejected as sole 60 L source",https://www.lelandltd.com/cylinders.html
C-003,A;C,water sensing/full-flow,Nordson MEDICAL / Halkey-Roberts,V95000XXB Alpha/Hydro 1F configurable family,"A:2; C:3",CONFIGURABLE COTS MODULE,3,"1/2-20 thread family matches 89070; exact 70 g application approval and suffix require vendor engineering",https://fluid-components.nordsonmedical.com/Products/Inflation-Products/
C-004,A;C,water sensing,Nordson MEDICAL / Halkey-Roberts,V80040 Super Bobbin,"A:2; C:3",COMPLETE COTS MODULE,3,"Submerged-water function and -5 to 70 C tested range supported; mission exposure open",https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Alpha-Inflator-V80040-Bobbin-Instructions-For-Use.pdf
C-005,C,pilot isolation,Swagelok,SS-4C-1/3,3,COTS COMPONENT FAMILY,3,"316 SS 1/4 in tube check; CO2 cold-flow and selected cracking pressure require test",https://products.swagelok.com/en/c/fixed-pressure/p/SS-4C-1%252F3
C-006,C,pressure bus,Swagelok,SS-400-3 union tee,2,COTS COMPONENT FAMILY,2,"Catalog identity retained; exact current drawing/order suffix to confirm",https://products.swagelok.com/
C-007,B;C,relief,Swagelok,KVV11DE1,1,CONFIGURABLE COTS MODULE,3,"0-100 psig adjustable relief family; set point cannot be selected until buoy MAWP is known",https://products.swagelok.com/en/c/adjustable-relief-valve/p/KVV11DE1
C-008,B,gas storage,Swagelok,316L-HDF4-300,1,COMPLETE COTS MODULE,3,"DOT-3E 1800 psig 300 cm3 cylinder; approved CO2 fill configuration/recharge lifecycle open",https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-HDF4-300
C-009,B,pressure relief,Swagelok,SS-4R3A1,1,CONFIGURABLE COTS MODULE,3,"High-pressure relief candidate; range/set suffix not frozen",https://products.swagelok.com/en/c/high-pressure-relief-valve/p/SS-4R3A1
C-010,A;B;C,release actuator,Clippard,SRR-14-4,1,CONFIGURABLE COTS MODULE,2,"7/8 in bore stainless cylinder identity; stroke/force/seal/seawater fit unverified",https://www.clippard.com/part/SRR-14-4
