occurrence_id,definition,legacy_id,description,removal_scope,source_parent_path,source_z_min_mm,source_z_max_mm,source_centroid_z_mm,source_mass_kg,reason,final_occurrence_present,final_bom_present,final_attachment_map_present,final_product_tree_present,final_validation_register_present
AFT-LONGERON-1,DF8-R2-AFT-LONGERON-001,DF8-R2-AFT-LONGERON-001,AFT PRIMARY LOAD-PATH LONGERON,SUPERSEDED_SHORTENED_BODY_STRUCTURE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1642.100000,1895.900000,1769.000000,0.007614,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
AFT-LONGERON-2,DF8-R2-AFT-LONGERON-001,DF8-R2-AFT-LONGERON-001,AFT PRIMARY LOAD-PATH LONGERON,SUPERSEDED_SHORTENED_BODY_STRUCTURE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1642.100000,1895.900000,1769.000000,0.007614,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
AFT-LONGERON-3,DF8-R2-AFT-LONGERON-001,DF8-R2-AFT-LONGERON-001,AFT PRIMARY LOAD-PATH LONGERON,SUPERSEDED_SHORTENED_BODY_STRUCTURE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1642.100000,1895.900000,1769.000000,0.007614,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
AFT-REPACK-SHELL-001,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,AFT REPACK BAY GRADE-9 TITANIUM SHELL,SUPERSEDED_SHORTENED_BODY_STRUCTURE,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,1222.000000,1634.000000,1428.000000,0.345758,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
AFT-ROUTE-RING-001,DF8-R2-AFT-ROUTE-RING-001,DF8-R2-AFT-ROUTE-RING-001,AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES,SUPERSEDED_SHORTENED_BODY_STRUCTURE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1634.000000,1642.000000,1638.000000,0.046503,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
AFT-SHELL-001,DF8-R2-AFT-SHELL-001,DF8-R2-AFT-SHELL-001,AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES,SUPERSEDED_SHORTENED_BODY_STRUCTURE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1642.000000,1928.000000,1786.834915,0.248515,Replaced by the exact 1675.400 mm rigid-body stack,NO,NO,NO,NO,NO
BODY-HARDPOINT-001,WP04-RHP-001-R2,WP04-RHP-001-R2,INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1894.000000,1906.000000,1900.000000,0.025434,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BOOSTER-1,DF8-R2-BOOSTER-RESERVOIR-001,DF8-R2-BOOSTER-RESERVOIR-001,13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,950.000000,1380.000000,1165.000000,0.137602,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-2,DF8-R2-BOOSTER-RESERVOIR-001,DF8-R2-BOOSTER-RESERVOIR-001,13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,950.000000,1380.000000,1165.000000,0.137602,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-3,DF8-R2-BOOSTER-RESERVOIR-001,DF8-R2-BOOSTER-RESERVOIR-001,13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,950.000000,1380.000000,1165.000000,0.137602,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
