criterion,weight,A_score_1_to_5,A_weighted,A_rationale,B_score_1_to_5,B_weighted,B_rationale,C_score_1_to_5,C_weighted,C_rationale
mission compliance,10,3,30,"Concept compliant; depth/cold gas margin open",3,30,"Concept compliant; charge/control approval open",4,40,"Best branch tolerance; depth/cold still open"
functional COTS percentage,6,4,24,"16/22 = 72.73%",3,18,"15/23 = 65.22%; below target",4,24,"18/23 = 78.26%"
custom unique parts,4,4,16,"6 custom lines",3,12,"8 custom lines",4,16,"5 custom lines"
custom fabrication operations,3,4,12,"16 projected operations",3,9,"19 projected operations",4,12,"14 projected operations"
custom pressure boundaries,8,5,40,"No custom vessel; adapter avoidable",5,40,"No custom vessel",5,40,"No custom vessel; catalog fitting bus"
pressure certification burden,6,4,24,"Certified cartridge identities; inflator pairing open",4,24,"DOT cylinder; fill configuration lifecycle open",4,24,"Certified cartridge identities; three-branch transient open"
CoC availability,4,3,12,"Mostly unconfirmed",4,16,"Swagelok certificate posture comparatively mature",3,12,"Mostly unconfirmed"
field reset,8,5,40,"Two cartridge/bobbin kits",2,16,"Recharge/exchange station required",5,40,"Keyed three-branch service kit"
field serviceability,6,5,30,"Module exchange",2,12,"Pressure service is field-maintenance",5,30,"Branch-level replaceability"
corrosion/environment,4,3,12,"Mixed materials and bobbin exposure",4,16,"316L cylinder favorable; valves still need test",3,12,"Mixed materials and more connections"
external envelope,5,3,15,"Two 30.0 mm x 205.0 mm cartridges; layout open",4,20,"50.8 mm cylinder plausible but tight",4,20,"Distributed 30.0 mm branches plausible"
mass,5,4,20,"13.3 kg estimate",2,10,"14.7 kg estimate and heavy cylinder",4,20,"14.0 kg estimate"
arm-mechanism compatibility,4,4,16,"Pilot takeoff can release existing concept",3,12,"Industrial valve/actuator integration larger",4,16,"Mechanical energy decoupled from buoy flow"
buoy performance,7,3,21,"140 g only surface-margin screen",3,21,"Charge mass not approved",4,28,"210 g covers 5 m first-order screen only"
supply-chain resilience,3,3,9,"Two key marine sources",3,9,"Cylinder/fill service concentration",3,9,"More suppliers; key cartridge/inflator pair concentrated"
vendor maturity,3,4,12,"Marine inflator and cartridges are catalog products",4,12,"Mature industrial catalog families",4,12,"Catalog products; exact pairing unconfirmed"
qualification burden,4,3,12,"Dual flow and partial branch",3,12,"Recharge and full valve train",3,12,"Three-branch timing and transient"
integration complexity,3,3,9,"Two piercers and common outlet",2,6,"Valve train/service panel",3,9,"Three checked branches but modular"
failure tolerance,4,4,16,"Two branches",3,12,"Single source and main valve",5,20,"Three isolated branches; partial operation testable"
development schedule,3,4,12,"Fewest pressure modules",2,6,"Recharge/certification path longest",3,9,"More modules but parallelizable"
TOTAL,100,,382,"76.4/100",,313,"62.6/100",,405,"81.0/100 — PROVISIONAL SELECT"
