commission_section,status,evidence,release_effect
0,PARTIAL,Maximum-complete non-release outcome,BLOCKS RELEASE
1,PASS,Repository and branch authority inspected,SEE EVIDENCE
2,PASS,Mandatory context reading completed,SEE EVIDENCE
3,PASS,Current Package 05 anchor selected,SEE EVIDENCE
4,FAIL,Named source/decision placeholders and 11 screenshots absent,BLOCKS RELEASE
5,PASS,No unsupported claim promoted,SEE EVIDENCE
6,PASS,Autonomous decision register supplied,SEE EVIDENCE
7,PASS,Bounded root-cause/retry control applied,SEE EVIDENCE
8,PASS,Current architecture preserved except evidence outputs,SEE EVIDENCE
9,FAIL,No complete qualified commercial inflation module,BLOCKS RELEASE
10,PARTIAL,Applicability complete; required unavailable analyses block release,BLOCKS RELEASE
11,PARTIAL,Design-basis matrix supplied; ratings/loads open,BLOCKS RELEASE
12,FAIL,One explicit COTS proxy and developmental softgood envelopes,BLOCKS RELEASE
13,FAIL,Root assembly name contains prohibited administrative tokens,BLOCKS RELEASE
14,FAIL,Gas capacity/interface/rating/continuity not released,BLOCKS RELEASE
15,PARTIAL,Global audit complete; exact images missing,BLOCKS RELEASE
16,PASS - DIGITAL,Parity and full one-degree motion pass,SEE EVIDENCE
17,PARTIAL,Readable analyses supplied; safety-critical unknowns remain,BLOCKS RELEASE
18,FAIL,No released drawings/GD&T/approved work instructions,BLOCKS RELEASE
19,PARTIAL,System and part render catalogs generated from CAD,BLOCKS RELEASE
20,PASS - EXECUTIVE ARTIFACTS,13-slide PPTX and 13-page PDF generated and visually verified,SEE EVIDENCE
21,FAIL,Objective gate table contains open failures,BLOCKS RELEASE
22,PARTIAL,Clean semantic build/reimport pass; AP242 bytes nondeterministic,BLOCKS RELEASE
23,PASS FOR NON-RELEASE PACKAGE,Current internal artifact audit passed; see 10_REVIEWS/INTERNAL_AUDIT_RESULTS.json,SEE EVIDENCE
24,PENDING CLOSURE VERIFICATION,Initial fresh-context review returned five corrections; corrected candidate must be re-reviewed,SEE EVIDENCE
25,PASS,Dedicated branch; protected packages preserved,SEE EVIDENCE
26,PENDING,Final ZIP assembly/extraction test,SEE EVIDENCE
27,PARTIAL,Terminal exception path invoked; delivery pending,BLOCKS RELEASE
