"part_number","description","make_buy_baseline","manufacturer","material","classification","source_package","source_item_number","make_buy_source","functional_role_category","proposed_substitution_mpn","proposed_vendor","decision","decision_rationale","catalog_fit_verified","procurement_ready","primary_url","recorded_at_utc"
"SSCF-M3-6-A4","M3 X 6 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","BUY","Accu","A4-80 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/metric-cap-head-screws/3973-SSCF-M3-6-A4","2026-08-23T20:42:05Z"
"SSCF-M3-10-A4","M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762","BUY","Accu","A4-80 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4","2026-08-23T20:42:05Z"
"SSK-M3-6-A4-P80","M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80","BUY","Accu","A4-80 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/countersunk-socket-head-screws/795226-SSK-M3-6-A4-P80","2026-08-23T20:42:05Z"
"SSCA-M3-8-A4-BL","M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912","BUY","Accu","A4-80 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL","2026-08-23T20:42:05Z"
"SSCL-M4-8-A4","M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984","BUY","Accu","A4-80 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4","2026-08-23T20:42:05Z"
"HDP-3-8-A1","3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE","BUY","Accu","316 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1","2026-08-23T20:42:05Z"
"HTP-3-30-A1","3 MM X 30 MM TAPER PIN, DIN 1B","BUY","Accu","316 stainless steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1","2026-08-23T20:42:05Z"
"HEC-10-A4","10 MM EXTERNAL CIRCLIP, DIN 471","BUY","Accu","1.4310 stainless spring steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.accu.co.uk/external-circlips/629101-HEC-10-A4","2026-08-23T20:42:05Z"
"DF8-WATER-BOBBIN-SERVICE-CAP-001","CAPTIVE WATER-BOBBIN THREADED/BAYONET SERVICE CAP","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-NOSE-001","TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE","MAKE","STINGRAY custom","Tungsten heavy alloy","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BALLAST-001","FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE","MAKE","STINGRAY custom","Tungsten heavy alloy","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-FWD-SHELL-001","FORWARD GRADE-9 TITANIUM SHELL WITH CONTROLLED WATER PORT","MAKE","STINGRAY custom","Ti-3Al-2.5V Grade 9","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STRUCT-RING-PLAIN-001","PRIMARY STRUCTURAL TRANSITION RING WITH FOUR TAPPED CARRIER LANDS","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STRUCT-RING-ROUTED-001","STRUCTURAL RING WITH ROUTE PASSAGES, ARM RELIEFS AND FULLFLOW CIRCLIP REACTION CAGE","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-FWD-LONGERON-001","FORWARD PRIMARY LOAD-PATH LONGERON","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"LELAND-81121","LELAND 81121 12 G CO2 CARTRIDGE","BUY","Leland Gas Technologies","Steel pressure cartridge","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas","2026-08-23T20:42:05Z"
"DF8-R2-CARTRIDGE-CARRIER-001","FOUR-CARTRIDGE DOUBLE-PLATE CARRIER","MAKE","STINGRAY custom","7075-T6 aluminum","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-COLLECTION-MANIFOLD-001","FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
